description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
BRAKE FITTING IN FAST FIT,.15382057,.089719422,.064101145,9017,809,0,0,0,578,0,0,0,7630,0,0,0,.075001724,,,,-.084511399,,,,0,0,0,,,,,,,.84617943,,,,,,,7,matched (3)
CHILLED READY MEAL-MEAT-SERVS1,.15278551,.09126322,.06152229,16173,1476,372,79,36,995,215,57,29,13702,4025,675,376,.1666953,.11352687,.14407626,.16510209,-.17091238,-.14430213,-.12876168,-.11136647,4612,811,441,.080659151,.097410604,.081632651,.046617519,.070283599,.065759636,.84721452,.87272334,.83230579,.85260773,.12727667,.16769421,.14739229,1,matched (3)
FRUIT DRINK-200-290ML 3-PACK,.15267615,.081271067,.071405083,24326,1977,0,0,0,1737,0,0,0,20612,0,0,0,.13953888,,,,-.12357626,,,,0,0,0,,,,,,,.84732383,,,,,,,1,matched (3)
PRE-PACKED SALAD 100-250G,.15232329,.079053,.073270291,14699,1162,272,94,63,1077,245,75,40,12460,3398,882,553,.28998426,.35120714,.28063869,.26902193,-.21968967,-.25550929,-.21313584,-.22101736,3915,1051,656,.069476373,.089438632,.096036583,.062579818,.07136061,.060975611,.84767669,.86794382,.83920074,.84298778,.13205619,.16079924,.15701219,1,matched (3)
PAINT-EMULSION-WHITE-2.5-5LTR,.15230519,.087760098,.06454508,49020,4302,0,0,0,3164,0,0,0,41554,0,0,0,.13739195,,,,-.14375277,,,,0,0,0,,,,,,,.84769481,,,,,,,4,matched (3)
COOKED MEAT - SLICED TURKEY,.15226081,.089811757,.06244906,25765,2314,0,0,0,1609,0,0,0,21842,0,0,0,.17936188,,,,-.18612598,,,,0,0,0,,,,,,,.84773916,,,,,,,1,matched (3)
MENS TRAINING SHOE-FOOTWEAR,.1521842,.068189889,.083994314,16894,1152,0,0,0,1419,0,0,0,14323,0,0,0,.25465161,,,,-.21171671,,,,0,0,0,,,,,,,.84781581,,,,,,,3,matched (3)
CHILD'S TRAINERS-FOOTWEAR,.15207027,.072824501,.079245768,46564,3391,0,0,0,3690,0,0,0,39483,0,0,0,.21922877,,,,-.20844281,,,,0,0,0,,,,,,,.84792972,,,,,,,3,matched (3)
SLEEPING BAG,.15142936,.075542055,.075887308,43446,3282,404,69,28,3297,471,59,43,36867,3357,726,466,.24096124,.32718492,.19189687,.1811205,-.18805078,-.21070211,-.22164793,-.22837634,4232,854,537,.095463134,.080796249,.052141529,.1112949,.069086649,.080074489,.84857064,.79324198,.85011709,.86778396,.20675802,.1498829,.13221602,9,matched (3)
COOKING OIL -VEGETABLE 1 LITRE,.15125063,.081354752,.069895886,31504,2563,0,0,0,2202,0,0,0,26739,0,0,0,.098848134,,,,-.088249229,,,,0,0,0,,,,,,,.84874934,,,,,,,1,matched (3)
WOMEN'S SHOES WALKING -1,.15101208,.07850866,.072503418,43129,3386,0,0,0,3127,0,0,0,36616,0,0,0,.17231677,,,,-.18597749,,,,0,0,0,,,,,,,.84898794,,,,,,,3,matched (3)
CANVAS FASHION ADULT SHOE/TRAI,.15097679,.071391113,.079585679,15254,1089,549,156,103,1214,579,157,94,12951,6418,1045,606,.333713,.32263631,.23942614,.18061185,-.25917041,-.25801167,-.23480067,-.23561563,7546,1358,803,.07275378,.11487482,.12826899,.076729394,.1156112,.11706102,.84902322,.85051686,.76951396,.75466996,.14948317,.23048601,.24533001,3,matched (3)
FLOUR-SELF-RAISING-1.5KG,.15093514,.079081103,.07185404,48014,3797,211,9,5,3450,207,24,19,40767,4433,359,153,.17124802,.21870911,.40579036,.17799106,-.12917799,-.18395276,-.22346091,-.1723953,4851,392,177,.043496188,.022959184,.028248588,.042671613,.06122449,.10734463,.84906483,.91383219,.91581631,.86440676,.086167797,.084183678,.13559322,1,matched (3)
CDR SPECIFY LGTH & SIZE,.15058823,.054759357,.095828876,4675,256,0,0,0,448,0,0,0,3971,0,0,0,.3384288,,,,-.2553277,,,,0,0,0,,,,,,,.84941179,,,,,,,9,matched (3)
SPEC'Y BEER BOTT 500ML 4-5.5,.15049988,.077081583,.073418304,13103,1010,612,107,56,962,489,108,72,11131,6535,1249,756,.21073578,.20939933,.27184027,.31983331,-.18099466,-.18724103,-.19695379,-.20327732,7636,1464,884,.08014667,.073087431,.06334842,.064038761,.073770493,.081447966,.84950012,.85581458,.85314208,.85520363,.14418542,.14685792,.14479639,2,matched (3)
CANNED MEAT-STEWED STEAK,.15034495,.083784781,.066560172,43194,3619,321,27,8,2875,232,23,17,36700,3737,470,252,.13558276,.13424765,.23353755,.30757293,-.11996133,-.13481466,-.11977935,-.078891098,4290,520,277,.074825175,.051923078,.028880866,.054079253,.04423077,.061371841,.84965503,.8710956,.90384614,.9097473,.12890443,.096153848,.090252705,1,matched (3)
INDIGESTION TABLETS 16-24 PACK,.15030549,.09894941,.051356085,53684,5312,487,33,19,2757,277,26,16,45615,4255,793,445,.12644555,.14071316,.12063464,.14911875,-.1302188,-.15369216,-.1712532,-.10040694,5019,852,480,.09703128,.038732395,.039583333,.055190276,.030516433,.033333335,.84969449,.84777844,.93075114,.92708331,.15222156,.069248825,.072916672,6,matched (3)
WASHING MACHINE-  LIQUID,.15007338,.079745598,.070327789,16352,1304,0,0,0,1150,0,0,0,13898,0,0,0,.10464343,,,,-.092152439,,,,0,0,0,,,,,,,.84992659,,,,,,,5,matched (3)
ROTISSERIE CHICKEN [WHOLE],.14997858,.093558066,.056420512,7001,655,91,3,0,395,55,4,0,5951,1704,54,19,.13042977,.13606337,.69999999,,-.12390868,-.14034458,-.15180859,,1850,61,19,.049189188,.049180329,0,.02972973,.065573767,0,.85002142,.92108107,.88524592,1,.078918919,.1147541,0,1,matched (3)
STEP LADDER SPEC NO OF STEPS,.14996901,.09268444,.057284564,16130,1495,0,0,0,924,0,0,0,13711,0,0,0,.14368112,,,,-.12656157,,,,0,0,0,,,,,,,.85003102,,,,,,,5,matched (3)
"BRA, CUP SIZE A-D RANGE",.14957097,.081144251,.068426713,91134,7395,782,194,125,6236,633,218,144,77503,9023,1352,765,.21805085,.3245326,.30050898,.30581439,-.20922725,-.24834415,-.27929607,-.25449276,10438,1764,1034,.074918568,.10997733,.12088975,.060643803,.12358277,.13926499,.85042906,.86443764,.76643991,.73984528,.13556238,.23356009,.26015472,3,matched (3)
CONTINENTAL SLICED DELI MEAT,.14937437,.079272561,.070101812,12867,1020,445,114,42,902,361,103,54,10945,4900,970,641,.25846002,.22525544,.23615846,.24503461,-.20442906,-.19489412,-.13463956,-.14856055,5706,1187,737,.077988081,.096040435,.056987789,.063266739,.086773381,.073270015,.85062563,.85874516,.81718618,.86974221,.14125481,.18281382,.1302578,1,matched (3)
SHIRT SUITABLE FOR SCHOOL,.14889929,.063789219,.085110068,5769,368,0,0,0,491,0,0,0,4910,0,0,0,.19227608,,,,-.16901299,,,,0,0,0,,,,,,,.85110068,,,,,,,3,matched (3)
PHOTO FRAME,.14885229,.069437027,.079415269,24353,1691,486,121,81,1934,540,135,75,20728,5473,1043,618,.29241496,.2776112,.34591118,.33202928,-.25689015,-.25310659,-.2318096,-.25902563,6499,1299,774,.074780732,.093148574,.10465116,.083089709,.1039261,.096899226,.85114771,.84212959,.80292535,.79844964,.15787044,.19707468,.20155039,12,matched (3)
FLOOR RUG,.14867324,.075326346,.073346883,37384,2816,6,0,0,2742,12,0,0,31826,164,0,0,.23972318,.20009585,,,-.19831926,-.20001248,,,182,0,0,.032967035,,,.065934069,,,.85132676,.90109891,,,.098901108,,,5,matched (3)
LIQUID FOUNDATION SPECIFY SIZE,.14866985,.082590401,.066079453,28042,2316,533,100,42,1853,386,105,71,23873,5105,890,522,.27288923,.30255181,.20743877,.25211403,-.22910725,-.265957,-.16458412,-.15456514,6024,1095,635,.088479415,.091324203,.066141732,.064077027,.09589041,.11181103,.85133016,.84744358,.81278539,.82204723,.15255645,.18721461,.17795277,12,matched (3)
PAINT EMUL NOT WHITE 2.5-5LT,.14857143,.066493504,.08207792,1925,128,0,0,0,158,0,0,0,1639,0,0,0,.22899604,,,,-.15629844,,,,0,0,0,,,,,,,.85142857,,,,,,,4,matched (3)
CHILD'S SOFT TOY/TEDDY BEAR,.14802632,.065895587,.08213073,28272,1863,378,116,75,2322,452,80,32,24087,4588,778,482,.34826842,.25536382,.38305023,.37114701,-.23653294,-.21427335,-.31561196,-.27976191,5418,974,589,.069767445,.11909651,.12733446,.083425619,.082135521,.054329373,.85197371,.84680694,.79876798,.81833619,.15319306,.20123203,.18166384,9,matched (3)
DRYCELL BATTERY 4 PACK EG AADRYCELL BATTERY 4 PACK EG AADRYCELL BATTERY 4 PACK EG AA,.14778411,.074323162,.073460944,5799,431,351,128,69,426,382,200,129,4942,4351,1361,852,.16788587,.16939503,.16741799,.12792507,-.15426974,-.15677412,-.2131955,-.1995663,5084,1689,1050,.069040127,.07578449,.065714285,.07513769,.11841326,.12285715,.85221589,.85582221,.80580223,.81142855,.14417782,.19419774,.18857142,5,matched (3)
"PEANUT BUTTER, JAR, 225-350G",.14759648,.070751525,.076844953,2954,209,189,108,40,227,162,101,23,2518,1998,1076,671,.40352371,.38208455,.36610678,.3471154,-.25553083,-.27541232,-.16112195,-.13270414,2349,1285,734,.080459774,.084046692,.054495912,.068965517,.078599222,.031335149,.85240352,.85057473,.83735406,.91416895,.1494253,.16264591,.085831061,1,matched (3)
COOKED HAM LOOSE SPECIFY TYPE,.14751613,.088707119,.058809012,28363,2516,122,0,0,1668,83,0,0,24179,1433,0,0,.17975159,.15988944,,,-.19503839,-.15959758,,,1638,0,0,.074481077,,,.050671551,,,.85248387,.87484735,,,.12515263,,,1,matched (3)
DRAUGHT LAGER (PER PINT),.14701088,.13395427,.013056607,70539,9449,0,0,0,921,0,0,0,60169,0,0,0,.030170282,,,,-.040967084,,,,0,0,0,,,,,,,.85298914,,,,,,,11,matched (3)
WALLPAPER PER ROLL,.14700319,.080203213,.066799976,18503,1484,280,38,25,1236,242,32,10,15783,3091,602,366,.2733027,.27827486,.21914655,.21172924,-.2248695,-.22758445,-.1803612,-.18199851,3613,672,401,.077497922,.056547619,.062344141,.066980347,.047619049,.024937656,.85299683,.85552174,.89583331,.91271818,.14447826,.10416667,.087281793,4,matched (3)
SWEET POTATO PER KG,.14696833,.075475112,.071493216,5525,417,144,0,0,395,158,0,0,4713,1756,0,0,.1545994,.1293916,,,-.15888372,-.11139429,,,2058,0,0,.069970846,,,.076773569,,,.85303169,.85325557,,,.14674442,,,1,matched (3)
VENDING MACHINE CIGARETTES,.14643916,.12997033,.016468843,6740,876,0,0,0,111,0,0,0,5753,0,0,0,.0402322,,,,-.049670424,,,,0,0,0,,,,,,,.85356081,,,,,,,2,matched (3)
BOOK - TEENAGE FICTION,.14589417,.077327415,.068566754,17122,1324,390,167,100,1174,348,219,172,14624,4932,923,533,.21021573,.14454803,.18591619,.21504447,-.14155477,-.11851951,-.15728804,-.15757459,5670,1309,805,.068783067,.1275783,.1242236,.061375663,.16730328,.21366459,.85410583,.86984128,.70511842,.66211182,.13015872,.29488158,.33788818,9,matched (3)
RES2 Girls knickers (one pair,.14589156,.059250977,.086640581,1789,106,0,0,0,155,0,0,0,1528,0,0,0,.31572682,,,,-.23658232,,,,0,0,0,,,,,,,.85410845,,,,,,,,matched (3)
CHILL RED FAT READY MEAL,.14587101,.062688366,.08318264,1659,104,0,0,0,138,0,0,0,1417,0,0,0,.29400751,,,,-.15664709,,,,0,0,0,,,,,,,.85412902,,,,,,,1,matched (3)
CAT FOOD POUCH-IND-85G-100G,.1458011,.084530383,.061270718,18100,1530,388,86,35,1109,302,77,46,15461,4331,736,434,.15818308,.18875627,.22998926,.26701728,-.13756734,-.17534748,-.14815597,-.14220937,5021,899,515,.07727544,.095661849,.067961164,.060147382,.08565072,.089320391,.85419887,.8625772,.81868744,.84271842,.13742283,.18131256,.15728155,9,matched (3)
FROZ VEG BURGER/GRILL 200-454G,.14569947,.075021908,.070677571,27392,2055,404,97,71,1936,340,92,62,23401,5289,1193,686,.31358579,.3145943,.12440424,.089404024,-.22165455,-.26871279,-.19877306,-.22881794,6033,1382,819,.066965029,.070188135,.086691089,.056356706,.066570185,.075702079,.8543005,.87667829,.86324167,.83760685,.12332173,.13675833,.16239317,1,matched (3)
CHOC COATED BISCUITS-200-300G,.14507449,.095663041,.049411438,28799,2755,0,0,0,1423,0,0,0,24621,0,0,0,.094494373,,,,-.10819312,,,,0,0,0,,,,,,,.85492551,,,,,,,1,matched (3)
MINERAL WATER STILL 1.5-2L,.14501366,.072337314,.072676338,56043,4054,554,197,98,4073,362,213,140,47916,6920,1076,642,.16310832,.17799483,.27169415,.28804398,-.1348746,-.19489197,-.17494492,-.14661218,7836,1486,880,.070699334,.13257065,.11136363,.046197038,.14333782,.15909091,.85498637,.88310361,.72409153,.72954547,.11689638,.27590847,.27045453,1,matched (3)
CANNED SWEETCORN 198-340G,.14499268,.081950657,.063042015,50506,4139,384,31,6,3184,321,37,22,43183,6087,730,438,.11333961,.20921203,.15504664,.15657118,-.10161147,-.16013803,-.15003234,-.1627778,6792,798,466,.056537103,.038847119,.012875536,.047261484,.046365913,.047210302,.85500735,.89620143,.91478699,.93991417,.10379858,.085213035,.060085841,1,matched (3)
SOFTWOOD-1.6M-2.4M LENGTH,.14479977,.097160213,.047639553,44123,4287,622,0,0,2102,307,0,0,37734,3581,0,0,.092308596,.083425589,,,-.11969248,-.080868006,,,4510,0,0,.13791575,,,.068070956,,,.85520023,.79401332,,,.20598671,,,4,matched (3)
BABYGRO OR SLEEPSUIT,.14444746,.069224693,.075222768,81026,5609,682,197,139,6095,708,199,133,69322,8256,1186,686,.22892472,.26914042,.20302585,.22986993,-.20457147,-.2190558,-.200883,-.19454463,9646,1582,958,.070702881,.12452592,.14509395,.0733983,.12579013,.1388309,.85555255,.8558988,.74968392,.71607518,.14410117,.25031605,.28392485,3,matched (3)
BABYGRO OR SLEEPSUIT,.14444746,.069224693,.075222768,81026,5609,682,197,139,6095,708,199,133,69322,8256,1186,686,.22892472,.26914042,.20302585,.22986993,-.20457147,-.2190558,-.200883,-.19454463,9646,1582,958,.070702881,.12452592,.14509395,.0733983,.12579013,.1388309,.85555255,.8558988,.74968392,.71607518,.14410117,.25031605,.28392485,3,matched (3)
PLASTIC FOOD STORAGE CONTAINER,.1442976,.075528204,.068769403,36397,2749,450,94,54,2503,400,107,35,31145,4436,644,418,.24280839,.31322452,.46564603,.49806666,-.20735161,-.2518433,-.24808146,-.19846365,5286,845,507,.085130535,.11124261,.10650887,.075671583,.12662722,.069033533,.8557024,.83919787,.7621302,.82445759,.16080213,.23786983,.17554241,5,matched (3)
ALUMINIUM COOKING FOIL 300MM,.14400654,.086929679,.057076853,50213,4365,322,62,30,2866,220,57,25,42982,3897,705,421,.16045228,.13907988,.28806013,.32017222,-.15200515,-.19265483,-.22791721,-.22880512,4439,824,476,.07253886,.075242721,.063025214,.049560711,.069174759,.052521009,.85599345,.87790042,.85558254,.88445377,.12209957,.14441748,.11554623,5,matched (3)
MILK-FLAVOURED,.14395887,.086315997,.05764287,10114,873,0,0,0,583,0,0,0,8658,0,0,0,.16115198,,,,-.17906186,,,,0,0,0,,,,,,,.85604113,,,,,,,1,matched (3)
STAINLESS STEEL CUTLERY SET,.14385501,.071124479,.072730519,39227,2790,431,86,44,2853,282,115,52,33584,6059,998,657,.28691977,.26820457,.29373342,.2883068,-.23356731,-.25976682,-.25591931,-.25047618,6772,1199,753,.063644417,.071726441,.058432937,.041642055,.095913261,.069057107,.85614502,.89471352,.83236033,.87250996,.10528647,.1676397,.12749004,5,matched (3)
PAINT GLOSS/EMUL 750ML-2.5LTR,.14347461,.08656501,.056909595,8329,721,535,74,47,474,353,61,31,7134,5266,985,590,.13459547,.12002224,.21117534,.26657695,-.19606486,-.18948442,-.24457847,-.26279345,6154,1120,668,.086935326,.066071428,.070359282,.057361066,.054464284,.046407185,.85652542,.85570359,.87946427,.88323355,.14429639,.12053572,.11676647,4,matched (3)
CAMERA 35MM COMPACT,.14324667,.061901517,.081345148,30807,1907,0,0,0,2506,0,0,0,26394,0,0,0,.14266056,,,,-.12493271,,,,0,0,0,,,,,,,.85675335,,,,,,,9,matched (3)
STOCK CUBES-PACK OF 12,.1432457,.10063463,.042611063,20957,2109,0,0,0,893,0,0,0,17955,0,0,0,.062717974,,,,-.059100296,,,,0,0,0,,,,,,,.8567543,,,,,,,1,matched (3)
ELECTRONIC KEYBOARD,.14311631,.057448097,.085668214,4961,285,0,0,0,425,0,0,0,4251,0,0,0,.10649367,,,,-.11932179,,,,0,0,0,,,,,,,.8568837,,,,,,,9,matched (3)
FRESH TURKEY DICED/MIN PER KG,.14285715,.047619049,.095238097,21,1,0,22,6,2,0,30,15,18,0,335,219,.087499976,,.13803709,.10134611,-.096624032,,-.12163812,-.11876352,0,387,240,,.056847546,.025,,.07751938,.0625,.85714287,,.86563307,.91250002,,.13436693,.087499999,1,matched (3)
SIX BREAD ROLLS-WHITE/BROWN,.14256614,.087629072,.054937076,49584,4345,240,64,6,2724,131,53,36,42515,4075,656,393,.13910615,.13725352,.12488304,.054444432,-.13524789,-.17608498,-.17572835,-.19859603,4446,773,435,.053981107,.082794309,.013793103,.029464688,.068564035,.08275862,.85743386,.91655421,.84864163,.90344828,.083445795,.15135834,.096551724,1,matched (3)
LIVER PATE-100-135G OR 4OZ,.14240211,.075745806,.066656306,12872,975,0,0,0,858,0,0,0,11039,0,0,0,.16633287,,,,-.15606436,,,,0,0,0,,,,,,,.85759789,,,,,,,1,matched (3)
MEN'S SHOE FORMAL STYLE,.14195284,.075808421,.066144429,91784,6958,764,181,97,6071,709,231,153,78755,8546,1438,840,.16566664,.20973837,.24337822,.24060395,-.18481857,-.18842834,-.21688449,-.23095505,10019,1850,1090,.076255113,.097837836,.088990822,.070765547,.12486486,.14036697,.85804713,.85297936,.77729732,.77064222,.14702067,.2227027,.22935779,3,matched (3)
CUSTARD POWDER-300G DRUM,.1418533,.097292051,.044561245,17504,1703,0,0,0,780,0,0,0,15021,0,0,0,.060051747,,,,-.06364198,,,,0,0,0,,,,,,,.85814673,,,,,,,1,matched (3)
RES1 Child's socks,.14181286,.054824561,.086988308,1368,75,0,0,0,119,0,0,0,1174,0,0,0,.26695359,,,,-.25017112,,,,0,0,0,,,,,,,.85818714,,,,,,,,matched (3)
ELECTRIC HEATER,.14101514,.073884569,.067130581,9772,722,0,0,0,656,0,0,0,8394,0,0,0,.1959274,,,,-.18826443,,,,0,0,0,,,,,,,.85898483,,,,,,,5,matched (3)
MEN'S SHOES TRAINERS,.14045255,.066421404,.074031144,19843,1318,0,0,0,1469,0,0,0,17056,0,0,0,.17614259,,,,-.18383002,,,,0,0,0,,,,,,,.85954744,,,,,,,3,matched (3)
EDAM PER KG,.13959602,.087893791,.051702231,22823,2006,90,0,0,1180,37,0,0,19637,1152,0,0,.11900472,.084098697,,,-.11557034,-.17328504,,,1279,0,0,.070367478,,,.02892885,,,.86040395,.90070367,,,.099296331,,,1,matched (3)
GIN PER NIP,.13944224,.13147411,.0079681277,251,33,0,38,0,2,0,42,0,216,0,460,0,.03124997,,.038269337,,-.10185678,,-.23886725,,0,540,0,,.070370369,,,.077777781,,.86055779,,.85185188,,,.14814815,,11,matched (3)
PLAIN BISCUITS-200-300G,.13940962,.082422845,.056986775,52170,4300,213,41,16,2973,173,30,3,44897,4365,741,434,.11646452,.20081806,.19986695,.17195611,-.11131718,-.18278024,-.26018262,-.27500001,4751,812,453,.044832665,.050492611,.035320088,.036413386,.036945812,.0066225166,.8605904,.91875392,.9125616,.9580574,.081246048,.087438419,.041942604,1,matched (3)
FIZZY BOTTLED DRINK 500ML,.13927956,.096005127,.043274432,24957,2396,404,72,38,1080,123,51,23,21481,4371,720,402,.11737027,.12511641,.11837726,.13603516,-.11702804,-.13962409,-.13392833,-.12791899,4898,843,463,.082482643,.085409254,.082073435,.02511229,.060498219,.049676027,.86072046,.89240509,.85409254,.86825055,.10759494,.14590748,.13174947,1,matched (3)
SHOP MILK-PASTEURISED-PER PT,.1391539,.083945885,.055208009,25576,2147,0,0,0,1412,0,0,0,22017,0,0,0,.05040928,,,,-.057308543,,,,0,0,0,,,,,,,.8608461,,,,,,,1,matched (3)
SHOP MILK-WHOLE MILK-4PT/2LTR,.13913757,.081795678,.057341892,69478,5683,394,76,50,3984,163,115,65,59811,7851,1509,901,.085349597,.074675694,.10702073,.10342263,-.087487049,-.077164225,-.030155519,-.042794291,8408,1700,1016,.046860132,.044705883,.049212597,.019386299,.067647062,.063976377,.86086243,.93375355,.88764703,.88681102,.066246435,.11235294,.11318897,1,matched (3)
AFTER SHAVE,.13868999,.091487668,.047202334,11313,1035,0,0,0,534,0,0,0,9744,0,0,0,.12757713,,,,-.13497032,,,,0,0,0,,,,,,,.86131001,,,,,,,12,matched (3)
VIRUS CHECKER CD ROM,.13839629,.062066305,.076329991,2594,161,0,0,0,198,0,0,0,2235,0,0,0,.19965665,,,,-.22142136,,,,0,0,0,,,,,,,.86160368,,,,,,,9,matched (3)
RES1 Men's pants/boxers,.13758865,.065248229,.072340429,1410,92,0,0,0,102,0,0,0,1216,0,0,0,.29600114,,,,-.20419063,,,,0,0,0,,,,,,,.86241132,,,,,,,,matched (3)
DRAUGHT BITTER (PER PINT),.13751358,.11787526,.019638328,132496,15618,734,31,0,2602,204,50,0,114276,8444,404,0,.033554867,.028824095,.023785325,,-.058980882,-.059449282,-.090786517,,9382,485,0,.078234918,.063917525,,.021743765,.10309278,,.86248642,.90002131,.83298969,,.099978685,.16701031,,11,matched (3)
GIN (PER NIP),.13702656,.11746096,.019565608,44568,5235,0,0,0,872,0,0,0,38461,0,0,0,.036957122,,,,-.026901431,,,,0,0,0,,,,,,,.86297345,,,,,,,11,matched (3)
COOKED MEAT TURKEY/CHICK SLICE,.13691264,.076962732,.05994992,13578,1045,846,198,140,814,641,162,99,11719,8661,1235,699,.25122264,.25559852,.3168779,.33898693,-.21295515,-.22146372,-.20369048,-.21066667,10148,1595,938,.083366178,.12413793,.14925373,.063165158,.1015674,.10554371,.86308736,.85346866,.77429467,.74520254,.14653134,.22570533,.25479743,1,matched (3)
CHOCOLATE 11,.13687181,.096950874,.039920948,17710,1717,1,0,0,707,3,0,0,15286,104,0,0,.092505142,.29999995,,,-.10432784,-.11235951,,,108,0,0,.0092592593,,,.027777778,,,.86312819,.96296299,,,.037037037,,,1,matched (3)
BREAD BIN,.13664968,.067126162,.069523521,6674,448,0,0,0,464,0,0,0,5762,0,0,0,.18124956,,,,-.19100064,,,,0,0,0,,,,,,,.86335033,,,,,,,5,matched (3)
COLESLAW-PLAIN-200-250G,.13609046,.080354363,.055736098,22463,1805,0,0,0,1252,0,0,0,19406,0,0,0,.13429779,,,,-.15017039,,,,0,0,0,,,,,,,.86390954,,,,,,,1,matched (3)
DRAUGHT STOUT PER PINT,.13594761,.12024688,.015700737,132860,15976,898,35,0,2086,155,38,0,114798,8811,472,0,.028437484,.023136765,.023984926,,-.056475222,-.061382491,-.069779687,,9864,545,0,.091038115,.064220183,,.015713707,.069724768,,.86405241,.8932482,.86605507,,.10675182,.13394496,,11,matched (3)
PLASTERS-20-40 PACK,.13582987,.071420223,.064409651,34234,2445,278,90,40,2205,237,81,49,29584,4162,636,390,.18001112,.19514066,.23242156,.2536957,-.15971592,-.19992521,-.18818358,-.20745377,4677,807,479,.059439812,.11152416,.083507307,.050673507,.10037175,.10229645,.86417013,.88988668,.78810412,.81419623,.11011332,.21189591,.18580376,6,matched (3)
WOMENS LEGGINGS FULL LENGTH,.13545188,.061978813,.073473066,13311,825,589,137,88,978,651,136,89,11508,8654,1565,934,.37604129,.35763818,.4600575,.47359079,-.2690807,-.26496577,-.25616261,-.27536631,9894,1838,1111,.059531029,.074537538,.07920792,.065797456,.073993474,.080108009,.86454815,.87467152,.85146898,.84068406,.12532848,.14853102,.15931593,3,matched (3)
SUNGLASSES,.1353952,.04467354,.090721652,1455,65,0,0,0,132,0,0,0,1258,0,0,0,.31230968,,,,-.30398726,,,,0,0,0,,,,,,,.86460483,,,,,,,12,matched (3)
ENCYCLOPAEDIA 99,.1352718,.025284451,.10998736,791,20,0,0,0,87,0,0,0,684,0,0,0,.3483288,,,,-.26816031,,,,0,0,0,,,,,,,.86472821,,,,,,,9,matched (3)
GIRL'S SHOES SCHOOL,.13526043,.070499308,.064761132,83476,5885,582,131,66,5406,556,118,83,72185,8658,1573,990,.17032562,.176854,.19700201,.24012421,-.18324415,-.19565387,-.1801561,-.19285715,9796,1822,1139,.059412006,.071899012,.057945568,.05675786,.064763993,.07287094,.86473954,.88383013,.86333698,.86918348,.11616987,.136663,.1308165,3,matched (3)
WALLPAPER (1),.13522997,.080837198,.054392781,15958,1290,0,0,0,868,0,0,0,13800,0,0,0,.15391031,,,,-.16411562,,,,0,0,0,,,,,,,.86477,,,,,,,4,matched (3)
"BAKEWARE, METAL, TRAY/ROASTING",.13499378,.071232878,.063760899,4015,286,216,187,102,256,217,170,96,3473,2840,1567,987,.32878959,.34965906,.26241264,.27651376,-.19002336,-.18963151,-.28268614,-.32043114,3273,1924,1185,.065994501,.097193345,.086075947,.066300027,.08835759,.081012659,.86500621,.86770546,.81444907,.83291137,.13229454,.18555093,.1670886,5,matched (3)
CREAM CRACKERS PACK 200G-300G,.13489331,.083888263,.051005051,48505,4069,169,24,1,2474,101,16,3,41962,4235,760,439,.12116079,.14660674,.18280114,.19000006,-.10969859,-.10628793,-.2547875,-.061968699,4505,800,443,.037513874,.029999999,.0022573364,.022419535,.02,.0067720092,.8651067,.94006658,.94999999,.99097067,.059933409,.049999997,.0090293456,1,matched (3)
CHOCOLATE 3,.13471296,.092868134,.041844822,17541,1629,0,0,0,734,0,0,0,15178,0,0,0,.057525251,,,,-.062185157,,,,0,0,0,,,,,,,.86528707,,,,,,,1,matched (3)
MEN'S LEATHER BOOTS,.1345377,.062003542,.072534159,22031,1366,0,0,0,1598,0,0,0,19067,0,0,0,.19591588,,,,-.20115364,,,,0,0,0,,,,,,,.8654623,,,,,,,3,matched (3)
PAIR OF BASIN TAPS (NOT MIXER),.13430968,.079334706,.054974977,13588,1078,0,0,0,747,0,0,0,11763,0,0,0,.14165346,,,,-.1515743,,,,0,0,0,,,,,,,.86569029,,,,,,,4,matched (3)
FLOWER VASE,.13401189,.06526617,.068745732,30751,2007,246,59,35,2114,226,85,37,26630,3977,774,493,.25301433,.29092953,.35572529,.37154138,-.22356018,-.23539183,-.22846121,-.21387126,4449,918,565,.055293325,.064270154,.061946902,.050797932,.09259259,.065486729,.86598808,.89390874,.84313726,.87256634,.10609126,.15686274,.12743363,5,matched (3)
CHILD'S GAME ELECTRONIC,.1338861,.055185538,.078700557,7357,406,0,0,0,579,0,0,0,6372,0,0,0,.2163806,,,,-.15904501,,,,0,0,0,,,,,,,.8661139,,,,,,,9,matched (3)
COOKED HAM LOOSE PER 100GCOOKED HAM LOOSE PER 100GCOOKED HAM LOOSE PER 100G,.13348304,.08033932,.053143714,4008,322,267,15,6,213,179,14,7,3473,3116,351,158,.21815965,.21224773,.17769006,.089554623,-.17537421,-.17256606,-.16986766,-.15662782,3562,380,171,.074957892,.039473683,.03508772,.050252669,.036842104,.040935673,.86651695,.87478942,.92368424,.9239766,.12521055,.07631579,.076023392,1,matched (3)
