WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,Value
611,DJI,NGDP_R,Djibouti,"Gross domestic product, constant prices",National currency,Billions,549.114
611,DJI,NGDP_RPCH,Djibouti,"Gross domestic product, constant prices",Percent change,,1
611,DJI,NGDP,Djibouti,"Gross domestic product, current prices",National currency,Billions,606.063
611,DJI,NGDPD,Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,3.41
611,DJI,PPPGDP,Djibouti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.713
611,DJI,NGDP_D,Djibouti,"Gross domestic product, deflator",Index,,110.371
611,DJI,NGDPRPC,Djibouti,"Gross domestic product per capita, constant prices",National currency,Units,"555,782.04"
611,DJI,NGDPRPPPPC,Djibouti,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"5,482.17"
611,DJI,NGDPPC,Djibouti,"Gross domestic product per capita, current prices",National currency,Units,"613,422.96"
611,DJI,NGDPDPC,Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,451.61"
611,DJI,PPPPC,Djibouti,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"5,782.40"
611,DJI,NGAP_NPGDP,Djibouti,Output gap in percent of potential GDP,Percent of potential GDP,,
611,DJI,PPPSH,Djibouti,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.004
611,DJI,PPPEX,Djibouti,Implied PPP conversion rate,National currency per current international dollar,,106.084
611,DJI,NID_NGDP,Djibouti,Total investment,Percent of GDP,,30.243
611,DJI,NGSD_NGDP,Djibouti,Gross national savings,Percent of GDP,,40.987
611,DJI,PCPI,Djibouti,"Inflation, average consumer prices",Index,,110.383
611,DJI,PCPIPCH,Djibouti,"Inflation, average consumer prices",Percent change,,1.777
611,DJI,PCPIE,Djibouti,"Inflation, end of period consumer prices",Index,,109.997
611,DJI,PCPIEPCH,Djibouti,"Inflation, end of period consumer prices",Percent change,,0.31
611,DJI,TM_RPCH,Djibouti,Volume of imports of goods and services,Percent change,,-29.363
611,DJI,TMG_RPCH,Djibouti,Volume of Imports of goods,Percent change,,-30.878
611,DJI,TX_RPCH,Djibouti,Volume of exports of goods and services,Percent change,,-29.504
611,DJI,TXG_RPCH,Djibouti,Volume of exports of goods,Percent change,,-31.535
611,DJI,LUR,Djibouti,Unemployment rate,Percent of total labor force,,
611,DJI,LE,Djibouti,Employment,Persons,Millions,
611,DJI,LP,Djibouti,Population,Persons,Millions,0.988
611,DJI,GGR,Djibouti,General government revenue,National currency,Billions,132.58
611,DJI,GGR_NGDP,Djibouti,General government revenue,Percent of GDP,,21.876
611,DJI,GGX,Djibouti,General government total expenditure,National currency,Billions,142.368
611,DJI,GGX_NGDP,Djibouti,General government total expenditure,Percent of GDP,,23.491
611,DJI,GGXCNL,Djibouti,General government net lending/borrowing,National currency,Billions,-9.788
611,DJI,GGXCNL_NGDP,Djibouti,General government net lending/borrowing,Percent of GDP,,-1.615
611,DJI,GGSB,Djibouti,General government structural balance,National currency,Billions,
611,DJI,GGSB_NPGDP,Djibouti,General government structural balance,Percent of potential GDP,,
611,DJI,GGXONLB,Djibouti,General government primary net lending/borrowing,National currency,Billions,-8.837
611,DJI,GGXONLB_NGDP,Djibouti,General government primary net lending/borrowing,Percent of GDP,,-1.458
611,DJI,GGXWDN,Djibouti,General government net debt,National currency,Billions,241.765
611,DJI,GGXWDN_NGDP,Djibouti,General government net debt,Percent of GDP,,39.891
611,DJI,GGXWDG,Djibouti,General government gross debt,National currency,Billions,248.718
611,DJI,GGXWDG_NGDP,Djibouti,General government gross debt,Percent of GDP,,41.038
611,DJI,NGDP_FY,Djibouti,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,606.063
611,DJI,BCA,Djibouti,Current account balance,U.S. dollars,Billions,0.366
611,DJI,BCA_NGDPD,Djibouti,Current account balance,Percent of GDP,,10.743
321,DMA,NGDP_R,Dominica,"Gross domestic product, constant prices",National currency,Billions,1.131
321,DMA,NGDP_RPCH,Dominica,"Gross domestic product, constant prices",Percent change,,-10.997
321,DMA,NGDP,Dominica,"Gross domestic product, current prices",National currency,Billions,1.469
321,DMA,NGDPD,Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,0.544
321,DMA,PPPGDP,Dominica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.876
321,DMA,NGDP_D,Dominica,"Gross domestic product, deflator",Index,,129.921
321,DMA,NGDPRPC,Dominica,"Gross domestic product per capita, constant prices",National currency,Units,"15,409.93"
321,DMA,NGDPRPPPPC,Dominica,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"11,322.81"
321,DMA,NGDPPC,Dominica,"Gross domestic product per capita, current prices",National currency,Units,"20,020.71"
321,DMA,NGDPDPC,Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,415.08"
321,DMA,PPPPC,Dominica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,942.89"
321,DMA,NGAP_NPGDP,Dominica,Output gap in percent of potential GDP,Percent of potential GDP,,
321,DMA,PPPSH,Dominica,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.001
321,DMA,PPPEX,Dominica,Implied PPP conversion rate,National currency per current international dollar,,1.676
321,DMA,NID_NGDP,Dominica,Total investment,Percent of GDP,,22.535
321,DMA,NGSD_NGDP,Dominica,Gross national savings,Percent of GDP,,-7.421
321,DMA,PCPI,Dominica,"Inflation, average consumer prices",Index,,104.504
321,DMA,PCPIPCH,Dominica,"Inflation, average consumer prices",Percent change,,-0.727
321,DMA,PCPIE,Dominica,"Inflation, end of period consumer prices",Index,,104.37
321,DMA,PCPIEPCH,Dominica,"Inflation, end of period consumer prices",Percent change,,-0.704
321,DMA,TM_RPCH,Dominica,Volume of imports of goods and services,Percent change,,-34.831
321,DMA,TMG_RPCH,Dominica,Volume of Imports of goods,Percent change,,-29.34
321,DMA,TX_RPCH,Dominica,Volume of exports of goods and services,Percent change,,-48.963
321,DMA,TXG_RPCH,Dominica,Volume of exports of goods,Percent change,,37.207
321,DMA,LUR,Dominica,Unemployment rate,Percent of total labor force,,
321,DMA,LE,Dominica,Employment,Persons,Millions,
321,DMA,LP,Dominica,Population,Persons,Millions,0.073
321,DMA,GGR,Dominica,General government revenue,National currency,Billions,0.845
321,DMA,GGR_NGDP,Dominica,General government revenue,Percent of GDP,,56.341
321,DMA,GGX,Dominica,General government total expenditure,National currency,Billions,0.955
321,DMA,GGX_NGDP,Dominica,General government total expenditure,Percent of GDP,,63.657
321,DMA,GGXCNL,Dominica,General government net lending/borrowing,National currency,Billions,-0.11
321,DMA,GGXCNL_NGDP,Dominica,General government net lending/borrowing,Percent of GDP,,-7.316
321,DMA,GGSB,Dominica,General government structural balance,National currency,Billions,
321,DMA,GGSB_NPGDP,Dominica,General government structural balance,Percent of potential GDP,,
321,DMA,GGXONLB,Dominica,General government primary net lending/borrowing,National currency,Billions,-0.079
321,DMA,GGXONLB_NGDP,Dominica,General government primary net lending/borrowing,Percent of GDP,,-5.294
321,DMA,GGXWDN,Dominica,General government net debt,National currency,Billions,
321,DMA,GGXWDN_NGDP,Dominica,General government net debt,Percent of GDP,,
321,DMA,GGXWDG,Dominica,General government gross debt,National currency,Billions,1.61
321,DMA,GGXWDG_NGDP,Dominica,General government gross debt,Percent of GDP,,107.33
321,DMA,NGDP_FY,Dominica,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,1.5
321,DMA,BCA,Dominica,Current account balance,U.S. dollars,Billions,-0.163
321,DMA,BCA_NGDPD,Dominica,Current account balance,Percent of GDP,,-29.957
243,DOM,NGDP_R,Dominican Republic,"Gross domestic product, constant prices",National currency,Billions,"2,450.09"
243,DOM,NGDP_RPCH,Dominican Republic,"Gross domestic product, constant prices",Percent change,,-6.72
243,DOM,NGDP,Dominican Republic,"Gross domestic product, current prices",National currency,Billions,"4,456.66"
243,DOM,NGDPD,Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,78.923
243,DOM,PPPGDP,Dominican Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,194.548
243,DOM,NGDP_D,Dominican Republic,"Gross domestic product, deflator",Index,,181.897
243,DOM,NGDPRPC,Dominican Republic,"Gross domestic product per capita, constant prices",National currency,Units,"234,492.46"
243,DOM,NGDPRPPPPC,Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"17,652.97"
243,DOM,NGDPPC,Dominican Republic,"Gross domestic product per capita, current prices",National currency,Units,"426,535.65"
243,DOM,NGDPDPC,Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,553.51"
243,DOM,PPPPC,Dominican Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"18,619.73"
243,DOM,NGAP_NPGDP,Dominican Republic,Output gap in percent of potential GDP,Percent of potential GDP,,
243,DOM,PPPSH,Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.147
243,DOM,PPPEX,Dominican Republic,Implied PPP conversion rate,National currency per current international dollar,,22.908
243,DOM,NID_NGDP,Dominican Republic,Total investment,Percent of GDP,,25.383
243,DOM,NGSD_NGDP,Dominican Republic,Gross national savings,Percent of GDP,,23.43
243,DOM,PCPI,Dominican Republic,"Inflation, average consumer prices",Index,,100.752
243,DOM,PCPIPCH,Dominican Republic,"Inflation, average consumer prices",Percent change,,3.781
243,DOM,PCPIE,Dominican Republic,"Inflation, end of period consumer prices",Index,,104.394
243,DOM,PCPIEPCH,Dominican Republic,"Inflation, end of period consumer prices",Percent change,,5.554
243,DOM,TM_RPCH,Dominican Republic,Volume of imports of goods and services,Percent change,,-11.718
243,DOM,TMG_RPCH,Dominican Republic,Volume of Imports of goods,Percent change,,-9.388
243,DOM,TX_RPCH,Dominican Republic,Volume of exports of goods and services,Percent change,,-33.725
243,DOM,TXG_RPCH,Dominican Republic,Volume of exports of goods,Percent change,,-14.042
243,DOM,LUR,Dominican Republic,Unemployment rate,Percent of total labor force,,5.829
243,DOM,LE,Dominican Republic,Employment,Persons,Millions,
243,DOM,LP,Dominican Republic,Population,Persons,Millions,10.448
243,DOM,GGR,Dominican Republic,General government revenue,National currency,Billions,632.252
243,DOM,GGR_NGDP,Dominican Republic,General government revenue,Percent of GDP,,14.187
243,DOM,GGX,Dominican Republic,General government total expenditure,National currency,Billions,984.554
243,DOM,GGX_NGDP,Dominican Republic,General government total expenditure,Percent of GDP,,22.092
243,DOM,GGXCNL,Dominican Republic,General government net lending/borrowing,National currency,Billions,-352.302
243,DOM,GGXCNL_NGDP,Dominican Republic,General government net lending/borrowing,Percent of GDP,,-7.905
243,DOM,GGSB,Dominican Republic,General government structural balance,National currency,Billions,-152.943
243,DOM,GGSB_NPGDP,Dominican Republic,General government structural balance,Percent of potential GDP,,-3.219
243,DOM,GGXONLB,Dominican Republic,General government primary net lending/borrowing,National currency,Billions,-207.909
243,DOM,GGXONLB_NGDP,Dominican Republic,General government primary net lending/borrowing,Percent of GDP,,-4.665
243,DOM,GGXWDN,Dominican Republic,General government net debt,National currency,Billions,"2,562.02"
243,DOM,GGXWDN_NGDP,Dominican Republic,General government net debt,Percent of GDP,,57.488
243,DOM,GGXWDG,Dominican Republic,General government gross debt,National currency,Billions,"3,187.98"
243,DOM,GGXWDG_NGDP,Dominican Republic,General government gross debt,Percent of GDP,,71.533
243,DOM,NGDP_FY,Dominican Republic,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"4,456.66"
243,DOM,BCA,Dominican Republic,Current account balance,U.S. dollars,Billions,-1.541
243,DOM,BCA_NGDPD,Dominican Republic,Current account balance,Percent of GDP,,-1.953
248,ECU,NGDP_R,Ecuador,"Gross domestic product, constant prices",National currency,Billions,66.282
248,ECU,NGDP_RPCH,Ecuador,"Gross domestic product, constant prices",Percent change,,-7.788
248,ECU,NGDP,Ecuador,"Gross domestic product, current prices",National currency,Billions,99.291
248,ECU,NGDPD,Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,99.291
248,ECU,PPPGDP,Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,192.141
248,ECU,NGDP_D,Ecuador,"Gross domestic product, deflator",Index,,149.802
248,ECU,NGDPRPC,Ecuador,"Gross domestic product per capita, constant prices",National currency,Units,"3,785.22"
248,ECU,NGDPRPPPPC,Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"10,403.08"
248,ECU,NGDPPC,Ecuador,"Gross domestic product per capita, current prices",National currency,Units,"5,670.33"
248,ECU,NGDPDPC,Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,670.33"
248,ECU,PPPPC,Ecuador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"10,972.80"
248,ECU,NGAP_NPGDP,Ecuador,Output gap in percent of potential GDP,Percent of potential GDP,,
248,ECU,PPPSH,Ecuador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.145
248,ECU,PPPEX,Ecuador,Implied PPP conversion rate,National currency per current international dollar,,0.517
248,ECU,NID_NGDP,Ecuador,Total investment,Percent of GDP,,22.046
248,ECU,NGSD_NGDP,Ecuador,Gross national savings,Percent of GDP,,24.628
248,ECU,PCPI,Ecuador,"Inflation, average consumer prices",Index,,105.129
248,ECU,PCPIPCH,Ecuador,"Inflation, average consumer prices",Percent change,,-0.339
248,ECU,PCPIE,Ecuador,"Inflation, end of period consumer prices",Index,,104.233
248,ECU,PCPIEPCH,Ecuador,"Inflation, end of period consumer prices",Percent change,,-0.933
248,ECU,TM_RPCH,Ecuador,Volume of imports of goods and services,Percent change,,-14.913
248,ECU,TMG_RPCH,Ecuador,Volume of Imports of goods,Percent change,,-12.215
248,ECU,TX_RPCH,Ecuador,Volume of exports of goods and services,Percent change,,0.216
248,ECU,TXG_RPCH,Ecuador,Volume of exports of goods,Percent change,,5.054
248,ECU,LUR,Ecuador,Unemployment rate,Percent of total labor force,,5.346
248,ECU,LE,Ecuador,Employment,Persons,Millions,
248,ECU,LP,Ecuador,Population,Persons,Millions,17.511
248,ECU,GGR,Ecuador,General government revenue,National currency,Billions,29.408
248,ECU,GGR_NGDP,Ecuador,General government revenue,Percent of GDP,,29.618
248,ECU,GGX,Ecuador,General government total expenditure,National currency,Billions,35.476
248,ECU,GGX_NGDP,Ecuador,General government total expenditure,Percent of GDP,,35.73
248,ECU,GGXCNL,Ecuador,General government net lending/borrowing,National currency,Billions,-6.068
248,ECU,GGXCNL_NGDP,Ecuador,General government net lending/borrowing,Percent of GDP,,-6.111
248,ECU,GGSB,Ecuador,General government structural balance,National currency,Billions,-4.554
248,ECU,GGSB_NPGDP,Ecuador,General government structural balance,Percent of potential GDP,,-4.439
248,ECU,GGXONLB,Ecuador,General government primary net lending/borrowing,National currency,Billions,-3.283
248,ECU,GGXONLB_NGDP,Ecuador,General government primary net lending/borrowing,Percent of GDP,,-3.307
248,ECU,GGXWDN,Ecuador,General government net debt,National currency,Billions,
248,ECU,GGXWDN_NGDP,Ecuador,General government net debt,Percent of GDP,,
248,ECU,GGXWDG,Ecuador,General government gross debt,National currency,Billions,60.458
248,ECU,GGXWDG_NGDP,Ecuador,General government gross debt,Percent of GDP,,60.89
248,ECU,NGDP_FY,Ecuador,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,99.291
248,ECU,BCA,Ecuador,Current account balance,U.S. dollars,Billions,2.565
248,ECU,BCA_NGDPD,Ecuador,Current account balance,Percent of GDP,,2.583
469,EGY,NGDP_R,Egypt,"Gross domestic product, constant prices",National currency,Billions,"3,995.20"
469,EGY,NGDP_RPCH,Egypt,"Gross domestic product, constant prices",Percent change,,3.57
469,EGY,NGDP,Egypt,"Gross domestic product, current prices",National currency,Billions,"5,855.00"
469,EGY,NGDPD,Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,364.023
469,EGY,PPPGDP,Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,290.02"
469,EGY,NGDP_D,Egypt,"Gross domestic product, deflator",Index,,146.551
469,EGY,NGDPRPC,Egypt,"Gross domestic product per capita, constant prices",National currency,Units,"39,713.72"
469,EGY,NGDPRPPPPC,Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"12,157.50"
469,EGY,NGDPPC,Egypt,"Gross domestic product per capita, current prices",National currency,Units,"58,200.80"
469,EGY,NGDPDPC,Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,618.52"
469,EGY,PPPPC,Egypt,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"12,823.30"
469,EGY,NGAP_NPGDP,Egypt,Output gap in percent of potential GDP,Percent of potential GDP,,
469,EGY,PPPSH,Egypt,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.974
469,EGY,PPPEX,Egypt,Implied PPP conversion rate,National currency per current international dollar,,4.539
469,EGY,NID_NGDP,Egypt,Total investment,Percent of GDP,,13.742
469,EGY,NGSD_NGDP,Egypt,Gross national savings,Percent of GDP,,10.675
469,EGY,PCPI,Egypt,"Inflation, average consumer prices",Index,,105.692
469,EGY,PCPIPCH,Egypt,"Inflation, average consumer prices",Percent change,,5.7
469,EGY,PCPIE,Egypt,"Inflation, end of period consumer prices",Index,,107.724
469,EGY,PCPIEPCH,Egypt,"Inflation, end of period consumer prices",Percent change,,5.692
469,EGY,TM_RPCH,Egypt,Volume of imports of goods and services,Percent change,,0.356
469,EGY,TMG_RPCH,Egypt,Volume of Imports of goods,Percent change,,-1.565
469,EGY,TX_RPCH,Egypt,Volume of exports of goods and services,Percent change,,-3.775
469,EGY,TXG_RPCH,Egypt,Volume of exports of goods,Percent change,,4.209
469,EGY,LUR,Egypt,Unemployment rate,Percent of total labor force,,8.296
469,EGY,LE,Egypt,Employment,Persons,Millions,
469,EGY,LP,Egypt,Population,Persons,Millions,100.6
469,EGY,GGR,Egypt,General government revenue,National currency,Billions,"1,121.42"
469,EGY,GGR_NGDP,Egypt,General government revenue,Percent of GDP,,19.153
469,EGY,GGX,Egypt,General government total expenditure,National currency,Billions,"1,580.93"
469,EGY,GGX_NGDP,Egypt,General government total expenditure,Percent of GDP,,27.001
469,EGY,GGXCNL,Egypt,General government net lending/borrowing,National currency,Billions,-459.512
469,EGY,GGXCNL_NGDP,Egypt,General government net lending/borrowing,Percent of GDP,,-7.848
469,EGY,GGSB,Egypt,General government structural balance,National currency,Billions,-407.228
469,EGY,GGSB_NPGDP,Egypt,General government structural balance,Percent of potential GDP,,-6.955
469,EGY,GGXONLB,Egypt,General government primary net lending/borrowing,National currency,Billions,73.094
469,EGY,GGXONLB_NGDP,Egypt,General government primary net lending/borrowing,Percent of GDP,,1.248
469,EGY,GGXWDN,Egypt,General government net debt,National currency,Billions,"4,905.74"
469,EGY,GGXWDN_NGDP,Egypt,General government net debt,Percent of GDP,,83.787
469,EGY,GGXWDG,Egypt,General government gross debt,National currency,Billions,"5,248.84"
469,EGY,GGXWDG_NGDP,Egypt,General government gross debt,Percent of GDP,,89.647
469,EGY,NGDP_FY,Egypt,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"5,855.00"
469,EGY,BCA,Egypt,Current account balance,U.S. dollars,Billions,-11.167
469,EGY,BCA_NGDPD,Egypt,Current account balance,Percent of GDP,,-3.068
253,SLV,NGDP_R,El Salvador,"Gross domestic product, constant prices",National currency,Billions,23.472
253,SLV,NGDP_RPCH,El Salvador,"Gross domestic product, constant prices",Percent change,,-7.942
253,SLV,NGDP,El Salvador,"Gross domestic product, current prices",National currency,Billions,24.639
253,SLV,NGDPD,El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,24.639
253,SLV,PPPGDP,El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,55.118
253,SLV,NGDP_D,El Salvador,"Gross domestic product, deflator",Index,,104.972
253,SLV,NGDPRPC,El Salvador,"Gross domestic product per capita, constant prices",National currency,Units,"3,618.71"
253,SLV,NGDPRPPPPC,El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"8,056.56"
253,SLV,NGDPPC,El Salvador,"Gross domestic product per capita, current prices",National currency,Units,"3,798.64"
253,SLV,NGDPDPC,El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,798.64"
253,SLV,PPPPC,El Salvador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,497.77"
253,SLV,NGAP_NPGDP,El Salvador,Output gap in percent of potential GDP,Percent of potential GDP,,
253,SLV,PPPSH,El Salvador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.042
253,SLV,PPPEX,El Salvador,Implied PPP conversion rate,National currency per current international dollar,,0.447
253,SLV,NID_NGDP,El Salvador,Total investment,Percent of GDP,,17.906
253,SLV,NGSD_NGDP,El Salvador,Gross national savings,Percent of GDP,,18.397
253,SLV,PCPI,El Salvador,"Inflation, average consumer prices",Index,,112.027
253,SLV,PCPIPCH,El Salvador,"Inflation, average consumer prices",Percent change,,-0.37
253,SLV,PCPIE,El Salvador,"Inflation, end of period consumer prices",Index,,112.2
253,SLV,PCPIEPCH,El Salvador,"Inflation, end of period consumer prices",Percent change,,-0.08
253,SLV,TM_RPCH,El Salvador,Volume of imports of goods and services,Percent change,,-7.135
253,SLV,TMG_RPCH,El Salvador,Volume of Imports of goods,Percent change,,-6.467
253,SLV,TX_RPCH,El Salvador,Volume of exports of goods and services,Percent change,,-21.221
253,SLV,TXG_RPCH,El Salvador,Volume of exports of goods,Percent change,,-12.747
253,SLV,LUR,El Salvador,Unemployment rate,Percent of total labor force,,11.973
253,SLV,LE,El Salvador,Employment,Persons,Millions,
253,SLV,LP,El Salvador,Population,Persons,Millions,6.486
253,SLV,GGR,El Salvador,General government revenue,National currency,Billions,6.043
253,SLV,GGR_NGDP,El Salvador,General government revenue,Percent of GDP,,24.525
253,SLV,GGX,El Salvador,General government total expenditure,National currency,Billions,8.061
253,SLV,GGX_NGDP,El Salvador,General government total expenditure,Percent of GDP,,32.715
253,SLV,GGXCNL,El Salvador,General government net lending/borrowing,National currency,Billions,-2.018
253,SLV,GGXCNL_NGDP,El Salvador,General government net lending/borrowing,Percent of GDP,,-8.19
253,SLV,GGSB,El Salvador,General government structural balance,National currency,Billions,-1.079
253,SLV,GGSB_NPGDP,El Salvador,General government structural balance,Percent of potential GDP,,-3.969
253,SLV,GGXONLB,El Salvador,General government primary net lending/borrowing,National currency,Billions,-0.937
253,SLV,GGXONLB_NGDP,El Salvador,General government primary net lending/borrowing,Percent of GDP,,-3.801
253,SLV,GGXWDN,El Salvador,General government net debt,National currency,Billions,
253,SLV,GGXWDN_NGDP,El Salvador,General government net debt,Percent of GDP,,
253,SLV,GGXWDG,El Salvador,General government gross debt,National currency,Billions,21.969
253,SLV,GGXWDG_NGDP,El Salvador,General government gross debt,Percent of GDP,,89.164
253,SLV,NGDP_FY,El Salvador,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,24.639
253,SLV,BCA,El Salvador,Current account balance,U.S. dollars,Billions,0.121
253,SLV,BCA_NGDPD,El Salvador,Current account balance,Percent of GDP,,0.491
642,GNQ,NGDP_R,Equatorial Guinea,"Gross domestic product, constant prices",National currency,Billions,"4,812.96"
642,GNQ,NGDP_RPCH,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,-4.893
642,GNQ,NGDP,Equatorial Guinea,"Gross domestic product, current prices",National currency,Billions,"5,768.44"
642,GNQ,NGDPD,Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,10.022
642,GNQ,PPPGDP,Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.168
642,GNQ,NGDP_D,Equatorial Guinea,"Gross domestic product, deflator",Index,,119.852
642,GNQ,NGDPRPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",National currency,Units,"3,422,474.19"
642,GNQ,NGDPRPPPPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"16,967.76"
642,GNQ,NGDPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",National currency,Units,"4,101,914.27"
642,GNQ,NGDPDPC,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,126.50"
642,GNQ,PPPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"17,896.99"
642,GNQ,NGAP_NPGDP,Equatorial Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,
642,GNQ,PPPSH,Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.019
642,GNQ,PPPEX,Equatorial Guinea,Implied PPP conversion rate,National currency per current international dollar,,229.196
642,GNQ,NID_NGDP,Equatorial Guinea,Total investment,Percent of GDP,,5.31
642,GNQ,NGSD_NGDP,Equatorial Guinea,Gross national savings,Percent of GDP,,1.128
642,GNQ,PCPI,Equatorial Guinea,"Inflation, average consumer prices",Index,,145.078
642,GNQ,PCPIPCH,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,4.798
642,GNQ,PCPIE,Equatorial Guinea,"Inflation, end of period consumer prices",Index,,140.868
642,GNQ,PCPIEPCH,Equatorial Guinea,"Inflation, end of period consumer prices",Percent change,,-0.471
642,GNQ,TM_RPCH,Equatorial Guinea,Volume of imports of goods and services,Percent change,,-7.81
642,GNQ,TMG_RPCH,Equatorial Guinea,Volume of Imports of goods,Percent change,,-10.973
642,GNQ,TX_RPCH,Equatorial Guinea,Volume of exports of goods and services,Percent change,,-0.55
642,GNQ,TXG_RPCH,Equatorial Guinea,Volume of exports of goods,Percent change,,-6.587
642,GNQ,LUR,Equatorial Guinea,Unemployment rate,Percent of total labor force,,
642,GNQ,LE,Equatorial Guinea,Employment,Persons,Millions,
642,GNQ,LP,Equatorial Guinea,Population,Persons,Millions,1.406
642,GNQ,GGR,Equatorial Guinea,General government revenue,National currency,Billions,819.733
642,GNQ,GGR_NGDP,Equatorial Guinea,General government revenue,Percent of GDP,,14.211
642,GNQ,GGX,Equatorial Guinea,General government total expenditure,National currency,Billions,920.589
642,GNQ,GGX_NGDP,Equatorial Guinea,General government total expenditure,Percent of GDP,,15.959
642,GNQ,GGXCNL,Equatorial Guinea,General government net lending/borrowing,National currency,Billions,-100.856
642,GNQ,GGXCNL_NGDP,Equatorial Guinea,General government net lending/borrowing,Percent of GDP,,-1.748
642,GNQ,GGSB,Equatorial Guinea,General government structural balance,National currency,Billions,
642,GNQ,GGSB_NPGDP,Equatorial Guinea,General government structural balance,Percent of potential GDP,,
642,GNQ,GGXONLB,Equatorial Guinea,General government primary net lending/borrowing,National currency,Billions,-24.637
642,GNQ,GGXONLB_NGDP,Equatorial Guinea,General government primary net lending/borrowing,Percent of GDP,,-0.427
642,GNQ,GGXWDN,Equatorial Guinea,General government net debt,National currency,Billions,"2,186.28"
642,GNQ,GGXWDN_NGDP,Equatorial Guinea,General government net debt,Percent of GDP,,37.901
642,GNQ,GGXWDG,Equatorial Guinea,General government gross debt,National currency,Billions,"2,812.39"
642,GNQ,GGXWDG_NGDP,Equatorial Guinea,General government gross debt,Percent of GDP,,48.755
642,GNQ,NGDP_FY,Equatorial Guinea,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"5,768.44"
642,GNQ,BCA,Equatorial Guinea,Current account balance,U.S. dollars,Billions,-0.419
642,GNQ,BCA_NGDPD,Equatorial Guinea,Current account balance,Percent of GDP,,-4.183
643,ERI,NGDP_R,Eritrea,"Gross domestic product, constant prices",National currency,Billions,33.931
643,ERI,NGDP_RPCH,Eritrea,"Gross domestic product, constant prices",Percent change,,-0.627
