Title,CDID,CPIH division weights
"CPI INDEX 12.6.2.2 Fees and service charges of brokers, investment counsellors 2015=100",L7JH,
CPI INDEX 12.7 : OTHER SERVICES NEC 2015=100,D7FR,
CPI INDEX 12.7.0.1 Administrative fees 2015=100,L7JI,
CPI INDEX 12.7.0.2 Legal services and accountancy 2015=100,L7JJ,
CPI INDEX 12.7.0.3 Funeral services 2015=100,L7JK,
CPI INDEX 12.7.0.4 Other fees and services 2015=100,L7JL,
CPI INDEX: Audio-visual goods (G) 2015=100,DKA5,
CPI INDEX: Clothing & footwear goods (G) 2015=100,DK9W,
CPI INDEX: Durables (G) 2015=100,DK9K,
"CPI INDEX: Education, health and social protection (SP) 2015=100",DKD9,
"CPI INDEX: Electricity, gas & misc. energy (G) 2015=100",DK9U,
CPI INDEX: Energy (G) 2015=100,DK9T,
CPI INDEX: Energy and seasonal food (SP) 2015=100,DKD8,
CPI INDEX: Energy and unprocessed food (SP) 2015=100,DKD7,
"CPI INDEX: Energy, food, alcohol and tobacco (SP) 2015=100",DKD6,
"CPI INDEX: Excl education, health & social protection (SP) 2015=100",DKD5,
"CPI INDEX: Excl housing, water, elec., gas & other fuels (SP) 2015=100",DKD4,
"CPI INDEX: Excl liquid fuels, vehicle fuels & lubricants (SP) 2015=100",DKD3,
CPI INDEX: Excluding alcohol & tobacco (SP) 2015=100,DKD2,
CPI INDEX: Excluding energy & seasonal food (SP) 2015=100,DKC9,
CPI INDEX: Excluding energy & unprocessed food (SP) 2015=100,DKC7,
CPI INDEX: Excluding energy (SP) 2015=100,DKC5,
"CPI INDEX: Excluding Energy, food, alcoholic beverages & tobacco 2015=100",DKC6,
CPI INDEX: Excluding seasonal food (SP) 2015=100,DKC8,
CPI INDEX: Excluding tobacco (SP) 2015=100,DK9V,
"CPI INDEX: Food, alcoholic beverages & tobacco (G) 2015=100",DK9O,
CPI INDEX: Goods 2015=100,D7F4,
CPI INDEX: Household goods (G) 2015=100,DK9Y,
CPI INDEX: Housing goods (G) 2015=100,DK9X,
CPI INDEX: Housing services (S) 2015=100,DKA8,
CPI INDEX: Industrial goods (G) 2015=100,DK9S,
"CPI INDEX: Liquid fuels, vehicle fuels & lubricants (G) 2015=100",DKC4,
"CPI INDEX: Medical products, appliances & equipment (G) 2015=100",DKA2,
CPI INDEX: Medical services (S) 2015=100,DKC3,
CPI INDEX: Miscellaneous & other services (S) 2015=100,DKC2,
CPI INDEX: Miscellaneous goods (G) 2015=100,DKA7,
CPI INDEX: Miscellaneous services (S) 2015=100,DKB9,
CPI INDEX: Non-catering recreational & personal services (S) 2015=100,DKB8,
CPI INDEX: Non-durables (G) 2015=100,DK9M,
CPI INDEX: Non-energy industrial goods (G) 2015=100,DK9J,
CPI INDEX: Non-seasonal food (G) 2015=100,DK9N,
CPI INDEX: Other housing services (S) 2015=100,DKB2,
CPI INDEX: Other recreational & personal services (S) 2015=100,DKB7,
CPI INDEX: Other recreational goods (G) 2015=100,DKA6,
CPI INDEX: Package holidays & accommodation (S) 2015=100,DKB6,
CPI INDEX: Primary housing services (S) 2015=100,DKA9,
CPI INDEX: Processed food & non-alcoholic beverages (G) 2015=100,DK9P,
CPI INDEX: Recreational & personal services (S) 2015=100,DKB5,
CPI INDEX: Recreational goods (G) 2015=100,DKA4,
CPI INDEX: Seasonal food (G) 2015=100,DK9R,
CPI INDEX: Semi-durables (G) 2015=100,DK9L,
CPI INDEX: Services 2015=100,D7F5,
CPI INDEX: Services for personal transport equipment (S) 2015=100,DKB4,
CPI INDEX: Travel & transport services (S) 2015=100,DKB3,
CPI INDEX: Unprocessed food (G) 2015=100,DK9Q,
"CPI INDEX: Vehicles, spare parts & accessories (G) 2015=100",DKA3,
CPI INDEX: Water supply; materials for maintenance/repair (G) 2015=100,DK9Z,
CPI MONTHLY RATE 00: ALL ITEMS 2015=100,D7OE,
CPI MONTHLY RATE 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100,D7JH,
CPI MONTHLY RATE 01.1 : FOOD 2015=100,D7JT,
CPI MONTHLY RATE 01.1.1 : BREAD & CEREALS 2015=100,D7KR,
CPI MONTHLY RATE 01.1.1.1 Rice 2015=100,L7UB,
CPI MONTHLY RATE 01.1.1.2 Flours and other cereals 2015=100,L7UC,
CPI MONTHLY RATE 01.1.1.3 Bread 2015=100,L7UD,
CPI MONTHLY RATE 01.1.1.4 Other bakery products 2015=100,L7UE,
CPI MONTHLY RATE 01.1.1.5 Pizza and quiche 2015=100,L7UF,
CPI MONTHLY RATE 01.1.1.6 Pasta products and couscous 2015=100,L7UG,
CPI MONTHLY RATE 01.1.1.7/8 Breakfast cereals and other cereal products 2015=100,L7UH,
CPI MONTHLY RATE 01.1.2 : MEAT 2015=100,D7KS,
CPI MONTHLY RATE 01.1.2.1 Beef and veal 2015=100,L7UL,
CPI MONTHLY RATE 01.1.2.2 Pork 2015=100,L7UM,
CPI MONTHLY RATE 01.1.2.3 Lamb and goat 2015=100,L7UN,
CPI MONTHLY RATE 01.1.2.4 Poultry 2015=100,L7UO,
CPI MONTHLY RATE 01.1.2.6 Edible offal 2015=100,L7UP,
"CPI MONTHLY RATE 01.1.2.7 Dried, salted or smoked meat 2015=100",L7UQ,
CPI MONTHLY RATE 01.1.2.8 Other meat preparations 2015=100,L7UR,
CPI MONTHLY RATE 01.1.3 : FISH 2015=100,D7KT,
CPI MONTHLY RATE 01.1.3.1 Fresh or chilled fish 2015=100,L7US,
CPI MONTHLY RATE 01.1.3.4 Frozen seafood 2015=100,L7UT,
CPI MONTHLY RATE 01.1.3.6 Other pres/proces fish & seafood-based preps 2015=100,L7UU,
"CPI MONTHLY RATE 01.1.4 : MILK, CHEESE & EGGS 2015=100",D7KU,
CPI MONTHLY RATE 01.1.4.1 Whole milk 2015=100,L7UV,
CPI MONTHLY RATE 01.1.4.2 Low fat milk 2015=100,L7UW,
CPI MONTHLY RATE 01.1.4.4 Yoghurt 2015=100,L7UY,
CPI MONTHLY RATE 01.1.4.5 Cheese and curd 2015=100,L7UZ,
CPI MONTHLY RATE 01.1.4.6 Other milk products 2015=100,L7V2,
CPI MONTHLY RATE 01.1.4.7 Eggs 2015=100,L7V5,
CPI MONTHLY RATE 01.1.5 : OILS & FATS 2015=100,D7KV,
CPI MONTHLY RATE 01.1.5.1 Butter 2015=100,L7V6,
CPI MONTHLY RATE 01.1.5.2 Margarine and other vegetable fats 2015=100,L7V7,
CPI MONTHLY RATE 01.1.5.3 Olive oil 2015=100,L7V8,
CPI MONTHLY RATE 01.1.6 : FRUIT 2015=100,D7KW,
CPI MONTHLY RATE 01.1.6.1 Fresh or chilled fruit 2015=100,L7V9,
CPI MONTHLY RATE 01.1.6.3 Dried fruit and nuts 2015=100,L7VA,
CPI MONTHLY RATE 01.1.6.4 Preserved fruit and fruit-based products 2015=100,L7VB,
CPI MONTHLY RATE 01.1.7 : VEGETABLES INCLUDING POTATOES & OTHER TUBERS 2015=100,D7KX,
CPI MONTHLY RATE 01.1.7.1 Fresh/chilled veg other than pots/other tubers2015=100,L7VC,
CPI MONTHLY RATE 01.1.7.2 Frozen veg other than potatoes/other tubers 2015=100,L7VD,
"CPI MONTHLY RATE 01.1.7.3 Dried vegetables, other pres or processed veg 2015=100",L7VE,
CPI MONTHLY RATE 01.1.7.4 Potatoes 2015=100,L7VF,
CPI MONTHLY RATE 01.1.7.5 Crisps 2015=100,L7VG,
CPI MONTHLY RATE 01.1.7.6 Other tubers and products of tuber vegetables 2015=100,L7VH,
CPI MONTHLY RATE 01.1.8.1 Sugar 2015=100,L7VI,
"CPI MONTHLY RATE 01.1.8.2 Jams, marmalades and honey 2015=100",L7VJ,
CPI MONTHLY RATE 01.1.8.3 Chocolate 2015=100,L7VK,
CPI MONTHLY RATE 01.1.8.4 Confectionery products 2015=100,L7VN,
CPI MONTHLY RATE 01.1.8.5 Edible ices and ice cream 2015=100,L7VO,
CPI MONTHLY RATE 01.1.9 : FOOD PRODUCTS 2015=100,D7KZ,
"CPI MONTHLY RATE 01.1.9.1 Sauces, condiments 2015=100",L7VP,
CPI MONTHLY RATE 01.1.9.4 Ready-made meals 2015=100,L7VQ,
CPI MONTHLY RATE 01.1.9.9 Other food products n.e.c. 2015=100,L7VR,
CPI MONTHLY RATE 01.2 : NON-ALCOHOLIC BEVERAGES 2015=100,D7JU,
"CPI MONTHLY RATE 01.2.1 : COFFEE, TEA, COCOA 2015=100",D7L2,
CPI MONTHLY RATE 01.2.1.1 Coffee 2015=100,L7VS,
CPI MONTHLY RATE 01.2.1.2 Tea 2015=100,L7VV,
CPI MONTHLY RATE 01.2.1.3 Cocoa and powdered chocolate 2015=100,L7VW,
"CPI MONTHLY RATE 01.2.2 : MINERAL WATERS, SOFT DRINKS AND JUICES 2015=100",D7L3,
CPI MONTHLY RATE 01.2.2.1 Mineral or spring waters 2015=100,L7VX,
CPI MONTHLY RATE 01.2.2.2 Soft drinks 2015=100,L7VY,
CPI MONTHLY RATE 01.2.2.3 Fruit and vegetable juices 2015=100,L7VZ,
CPI MONTHLY RATE 02.1 : ALCOHOLIC BEVERAGES 2015=100,D7JW,
CPI MONTHLY RATE 02.1.1 : SPIRITS 2015=100,D7L4,
CPI MONTHLY RATE 02.1.2 : WINE (INC PERRY) 2015=100,D7L5,
CPI MONTHLY RATE 02.1.2.1 Wine from grapes 2015=100,L7W3,
CPI MONTHLY RATE 02.1.2.2 Wine from other fruits 2015=100,L7W4,
CPI MONTHLY RATE 02.1.2.3 Fortified wines 2015=100,L7W5,
CPI MONTHLY RATE 02.1.3 : BEER 2015=100,D7L6,
CPI MONTHLY RATE 02.1.3.1 Lager beer 2015=100,L7W6,
CPI MONTHLY RATE 02.1.3.2 Other alcoholic beer 2015=100,L7W7,
CPI MONTHLY RATE 02.2 : TOBACCO 2015=100,D7JX,
CPI MONTHLY RATE 02.2.0.1 Cigarettes 2015=100,L7W8,
CPI MONTHLY RATE 02.2.0.2 Cigars 2015=100,L7W9,
CPI MONTHLY RATE 02.2.0.3 Other tobacco products 2015=100,L7WA,
"CPI MONTHLY RATE 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS 2015=100",D7JI,
CPI MONTHLY RATE 03 : CLOTHING AND FOOTWEAR 2015=100,D7JJ,
CPI MONTHLY RATE 03.1 : CLOTHING 2015=100,D7JY,
CPI MONTHLY RATE 03.1.2 : GARMENTS 2015=100,D7L9,
CPI MONTHLY RATE 03.1.2.1 Garments for men 2015=100,L7WB,
CPI MONTHLY RATE 03.1.2.2 Garments for women 2015=100,L7WC,
CPI MONTHLY RATE 03.1.2.3 Garments for inf (0-2 yrs) and child(3-13 yrs)2015=100,L7WD,
CPI MONTHLY RATE 03.1.3.1 Other articles of clothing 2015=100,L7WE,
CPI MONTHLY RATE 03.1.3.2 Clothing accessories 2015=100,L7WF,
CPI MONTHLY RATE 03.1.3:OTHER ARTICLES OF CLOTHING & ACCESSORIES 2015=100,D7LA,
"CPI MONTHLY RATE 03.1.4 : DRY-CLEANING, REPAIR AND HIRE OF CLOTHING 2015=100",D7LB,
CPI MONTHLY RATE 03.1.4.1 Cleaning of clothing 2015=100,L7WG,
CPI MONTHLY RATE 03.1.4.2 Repair and hire of clothing 2015=100,L7WH,
CPI MONTHLY RATE 03.2 : FOOTWEAR INCLUDING REPAIRS 2015=100,D7JZ,
CPI MONTHLY RATE 03.2.1.1 Footwear for men 2015=100,L7WI,
CPI MONTHLY RATE 03.2.1.2 Footwear for women 2015=100,L7WJ,
CPI MONTHLY RATE 03.2.1.3 Footwear for infants and children 2015=100,L7WK,
"CPI MONTHLY RATE 04 : HOUSING, WATER AND FUELS 2015=100",D7JK,
CPI MONTHLY RATE 04.1 : ACTUAL RENTS FOR HOUSING 2015=100,D7K2,
CPI MONTHLY RATE 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2015=100,D7K3,
CPI MONTHLY RATE 04.3.1 : PRODUCTS FOR THE REGULAR REPAIR OF DWELLING 2015=100,D7LC,
CPI MONTHLY RATE 04.3.2 : SERVICES FOR THE REGULAR REPAIR OF DWELLING 2015=100,D7LE,
CPI MONTHLY RATE 04.3.2.1 Services of plumbers 2015=100,L7WO,
CPI MONTHLY RATE 04.3.2.2 Services of electricians 2015=100,L7WT,
CPI MONTHLY RATE 04.3.2.4 Services of painters 2015=100,L7WU,
CPI MONTHLY RATE 04.3.2.5 Services of carpenters 2015=100,L7WV,
CPI MONTHLY RATE 04.4 : OTHER SERVICES RELATING TO THE DWELLING 2015=100,D7K4,
CPI MONTHLY RATE 04.4.1 : WATER SUPPLY 2015=100,D7LH,
CPI MONTHLY RATE 04.4.3 : SEWERAGE COLLECTION 2015=100,D7LG,
"CPI MONTHLY RATE 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2015=100",D7K5,
CPI MONTHLY RATE 04.5.1 : ELECTRICITY 2015=100,D7LJ,
CPI MONTHLY RATE 04.5.2 : GAS 2015=100,D7LK,
CPI MONTHLY RATE 04.5.2.1 Natural gas and town gas 2015=100,L7WZ,
"CPI MONTHLY RATE 04.5.2.2 Liquefied hydrocarbons (butane, propane, etc) 2015=100",L7X2,
CPI MONTHLY RATE 04.5.3 : LIQUID FUELS 2015=100,D7LM,
CPI MONTHLY RATE 04.5.4 : SOLID FUELS 2015=100,D7LN,
"CPI MONTHLY RATE 05.1.1 : FURNITURE, FURNISHINGS 2015=100",D7LP,
CPI MONTHLY RATE 05.1.1.1 Household furniture 2015=100,L7X5,
CPI MONTHLY RATE 05.1.1.2 Garden furniture 2015=100,L7X6,
CPI MONTHLY RATE 05.1.1.3 Lighting equipment 2015=100,L7X7,
CPI MONTHLY RATE 05.1.1.9 Other furniture and furnishings 2015=100,L7X8,
CPI MONTHLY RATE 05.1.2 : CARPETS & OTHER FLOOR COVERINGS 2015=100,D7LQ,
CPI MONTHLY RATE 05.1.2.1 Carpets and rugs 2015=100,L7X9,
CPI MONTHLY RATE 05.1.2.2 Other floor coverings 2015=100,L7XA,
"CPI MONTHLY RATE 05.1:FURN, FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS 2015=100",D7K6,
CPI MONTHLY RATE 05.2 : HOUSEHOLD TEXTILES 2015=100,D7K7,
CPI MONTHLY RATE 05.2.0.1 Furnishing fabrics and curtains 2015=100,L7XB,
CPI MONTHLY RATE 05.2.0.2 Bed linen 2015=100,L7XC,
CPI MONTHLY RATE 05.2.0.3 Table linen and bathroom linen 2015=100,L7XD,
CPI MONTHLY RATE 05.3 : MAJOR HH APPLIANCES INCLUDING FITTINGS & REPAIR 2015=100,D7K8,
CPI MONTHLY RATE 05.3.1 : MAJOR HOUSEHOLD & SMALL ELECTRICAL EQUIPMENT 2015=100,D7LS,
"CPI MONTHLY RATE 05.3.1.1 Refrigerators, freezers and fridge-freezers 2015=100",L7XE,
"CPI MONTHLY RATE 05.3.1.2 Clothes washing/drying machines, dishwashing machines 2015=100",L7XH,
CPI MONTHLY RATE 05.3.1.3 Cookers 2015=100,L7XI,
"CPI MONTHLY RATE 05.3.1.4 Heaters, air conditioners 2015=100",L7XJ,
CPI MONTHLY RATE 05.3.1.5 Cleaning equipment 2015=100,L7XK,
"CPI MONTHLY RATE 05.3.2.2 Coffee machines, tea makers & similar applian 2015=100",L7XL,
CPI MONTHLY RATE 05.3.2.3 Irons 2015=100,L7XM,
CPI MONTHLY RATE 05.3.2.9 Other small electric household appliances 2015=100,L7XN,
CPI MONTHLY RATE 05.3.3 : REPAIR OF HOUSEHOLD APPLIANCES 2015=100,D7LT,
"CPI MONTHLY RATE 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2015=100",D7K9,
"CPI MONTHLY RATE 05.4.0.1 Glassware, crystal-ware, ceramic & chinaware 2015=100",L7XP,
"CPI MONTHLY RATE 05.4.0.2 Cutlery, flatware and silverware 2015=100",L7XQ,
CPI MONTHLY RATE 05.4.0.3 Non-electric kitchen utensils and articles 2015=100,L7XR,
CPI MONTHLY RATE 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2015=100,D7KA,
CPI MONTHLY RATE 05.5.1.1 Motorized major tools and equipment 2015=100,L7XS,
"CPI MONTHLY RATE 05.5.1.2 Repair, leasing & rental major tools & equip 2015=100",L7XT,
CPI MONTHLY RATE 05.5.2.1 Non-motorized small tools 2015=100,L7XU,
CPI MONTHLY RATE 05.5.2.2 Miscellaneous small tool accessories 2015=100,L7XX,
CPI MONTHLY RATE 05.6.1 : NON-DURABLE HOUSEHOLD GOODS 2015=100,D7LU,
CPI MONTHLY RATE 05.6.1.1 Cleaning and maintenance products 2015=100,L7XY,
CPI MONTHLY RATE 05.6.1.2 Other non-durable small household articles 2015=100,L7XZ,
CPI MONTHLY RATE 05.6.2 : DOMESTIC SERVICES AND HOME CARE SERVICES 2015=100,D7LV,
CPI MONTHLY RATE 05.6.2.1 Domestic services by paid staff 2015=100,L7Y2,
CPI MONTHLY RATE 05.6.2.9 Other domestic services & household services 2015=100,L7Y3,
CPI MONTHLY RATE 05.6:GOODS & SERVICES FOR ROUTINE HOUSEHLD MAINTENANCE 2015=100,D7KB,
"CPI MONTHLY RATE 05:FURN, HH EQUIP & REPAIR OF THE HOUSE 2015=100",D7JL,
CPI MONTHLY RATE 06 : HEALTH 2015=100,D7JM,
CPI MONTHLY RATE 06.1 : MEDICAL PRODUCTS APPLIANCES AND EQUIPMENT 2015=100,D7MW,
CPI MONTHLY RATE 06.1.1 : PHARMACEUTICAL PRODUCTS 2015=100,D7MX,
CPI MONTHLY RATE 06.1.2 : OTHER MEDICAL & THERAPEUTIC APPLIANCES 2015=100,D7MY,
CPI MONTHLY RATE 06.1.2.1 Pregnancy tests & mech contraceptive devices 2015=100,L7Y5,
CPI MONTHLY RATE 06.1.2.9 Other medical products n.e.c. 2015=100,L7Y6,
CPI MONTHLY RATE 06.1.3.1 Corrective eye-glasses and contact lenses 2015=100,L7Y7,
CPI MONTHLY RATE 06.2 : OUT-PATIENT SERVICES 2015=100,D7MZ,
CPI MONTHLY RATE 06.2.1 : MEDICAL SERVICES AND PARAMEDICAL SERVICES 2015=100,D7N2,
CPI MONTHLY RATE 06.2.2 : DENTAL SERVICES 2015=100,D7N3,
CPI MONTHLY RATE 06.3 : HOSPITAL SERVICES 2015=100,D7N4,
CPI MONTHLY RATE 07 : TRANSPORT 2015=100,D7JN,
CPI MONTHLY RATE 07.1 : PURCHASE OF VEHICLES 2015=100,D7KC,
CPI MONTHLY RATE 07.1.1A : NEW CARS 2015=100,D7LX,
CPI MONTHLY RATE 07.1.1B : SECOND-HAND CARS 2015=100,D7LY,
CPI MONTHLY RATE 07.1.2 : MOTOR CYCLES AND BICYCLES 2015=100,D7LZ,
CPI MONTHLY RATE 07.1.2.0 Motor cycles 2015=100,L7YC,
CPI MONTHLY RATE 07.1.3.0 Bicycles 2015=100,L7YD,
CPI MONTHLY RATE 07.2 : OPERATION OF PERSONAL TRANSPORT EQUIPMENT 2015=100,D7KD,
CPI MONTHLY RATE 07.2.1 : SPARE PARTS & ACCESSORIES 2015=100,D7M2,
CPI MONTHLY RATE 07.2.1.1 Tyres 2015=100,L7YE,
CPI MONTHLY RATE 07.2.1.2 Spare parts for personal transport equipment 2015=100,L7YF,
CPI MONTHLY RATE 07.2.2 : FUELS & LUBRICANTS 2015=100,D7M3,
CPI MONTHLY RATE 07.2.2.1 Diesel 2015=100,L7YG,
CPI MONTHLY RATE 07.2.2.2 Petrol 2015=100,L7YH,
CPI MONTHLY RATE 07.2.2.4 Lubricants 2015=100,L7YI,
CPI MONTHLY RATE 07.2.3 : MAINTENANCE & REPAIRS 2015=100,D7M4,
CPI MONTHLY RATE 07.2.4 : OTHER SERVICES FOR PERSONAL TRANSPORT EQUIP 2015=100,D7M5,
"CPI MONTHLY RATE 07.2.4.1 Hire of garages, parking spaces & pers trans equipment 2015=100",L7YK,
CPI MONTHLY RATE 07.2.4.2 Toll facilities and parking meters 2015=100,L7YL,
"CPI MONTHLY RATE 07.2.4.3 Driving lessons, test licences & road wothiness test 2015=100",L7YM,
CPI MONTHLY RATE 07.3 : TRANSPORT SERVICES 2015=100,D7KE,
CPI MONTHLY RATE 07.3.1 : PASSENGER TRANSPORT BY RAILWAY 2015=100,D7M8,
CPI MONTHLY RATE 07.3.1.1 Passenger transport by train 2015=100,L7YN,
CPI MONTHLY RATE 07.3.1.2 Passenger transport by underground and tram 2015=100,L7YO,
CPI MONTHLY RATE 07.3.2.1 Passenger transport by bus and coach 2015=100,L7YP,
CPI MONTHLY RATE 07.3.2.2 Passenger transport by taxi/hired car & driver2015=100,L7YQ,
CPI MONTHLY RATE 07.3.3 : PASSENGER TRANSPORT BY AIR 2015=100,D7MB,
CPI MONTHLY RATE 07.3.4 : PASSENGER TRANSPORT BY SEA & INLAND WATERWAY 2015=100,D7MA,
CPI MONTHLY RATE 07.3.6.2 Removal and Storage Services 2015=100,L7YR,
CPI MONTHLY RATE 08 : COMMUNICATION 2015=100,D7JO,
CPI MONTHLY RATE 08.1 : POSTAL SERVICES 2015=100,D7KF,
CPI MONTHLY RATE 08.2 : TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES 2015=100,D7MF,
CPI MONTHLY RATE 08.2.0.1 Fixed telephone equipment 2015=100,L7YU,
CPI MONTHLY RATE 08.2.0.2 Mobile telephone equipment 2015=100,L7YV,
CPI MONTHLY RATE 08.3.0.1 Wired telephone services 2015=100,L7YW,
CPI MONTHLY RATE 08.3.0.2 Wireless telephone services 2015=100,L7YX,
CPI MONTHLY RATE 08.3.0.3 Internet access provision services 2015=100,L7YY,
CPI MONTHLY RATE 08.3.0.4 Bundled telecommunication services 2015=100,L7YZ,
CPI MONTHLY RATE 09 : RECREATION & CULTURE 2015=100,D7JP,
CPI MONTHLY RATE 09.1 : AUDIO-VISUAL PHOTO AND DATA PROCESSING EQUIP 2015=100,D7KG,
CPI MONTHLY RATE 09.1.1 : EQUIPMENT FOR SOUND & PICTURES 2015=100,D7MG,
"CPI MONTHLY RATE 09.1.1.1 Equipment for the reception, record & repoduc of sound 2015=100",L7Z2,
"CPI MONTHLY RATE 09.1.1.2Equip for the recep,record & reproduction of sound/vis 2015=100",L7Z3,
CPI MONTHLY RATE 09.1.1.3 Portable sound and vision devices 2015=100,L7Z4,
"CPI MONTHLY RATE 09.1.1.9 Other equip for the recep,record & reprod of sound/pic 2015=100",L7Z5,
CPI MONTHLY RATE 09.1.2:PHOTOGRAPHIC CINEMATOGRAPHIC & OPTICAL EQUIP 2015=100,D7MH,
CPI MONTHLY RATE 09.1.3 : INFORMATION PROCESSING EQUIPMENT 2015=100,D7MI,
CPI MONTHLY RATE 09.1.3.1 Personal computers 2015=100,L7Z7,
CPI MONTHLY RATE 09.1.3.2 Accessories for info processing equipment 2015=100,L7Z8,
CPI MONTHLY RATE 09.1.3.3 Software 2015=100,L7Z9,
CPI MONTHLY RATE 09.1.4 : RECORDING MEDIA 2015=100,D7MK,
CPI MONTHLY RATE 09.1.4.1 Pre-recorded recording media 2015=100,L7ZA,
CPI MONTHLY RATE 09.1.4.2 Unrecorded recording media 2015=100,L7ZB,
CPI MONTHLY RATE 09.1.4.9 Other recording media 2015=100,L7ZC,
CPI MONTHLY RATE 09.1.5 : REPAIR OF A-V PHOTO & DATA PROCESSING EQUIP 2015=100,D7MJ,
CPI MONTHLY RATE 09.2 : OTHER MAJOR DURABLES FOR RECREATION AND CULTURE 2015=100,D7KH,
CPI MONTHLY RATE 09.2.1.1 Camper vans 2015=100,L7ZE,
"CPI MONTHLY RATE 09.2.1.3 Boats, outboard motors and fitting out of boats 2015=100",L7ZF,
CPI MONTHLY RATE 09.2.1.5 Major items for games and sport 2015=100,L7ZH,
CPI MONTHLY RATE 09.2.2.1 Musical instruments 2015=100,L7ZI,
CPI MONTHLY RATE 09.2.3.0 Maintenance and repair of other major durables 2015=100,L7ZG,
CPI MONTHLY RATE 09.3.1 : GAMES TOYS AND HOBBIES 2015=100,D7N7,
CPI MONTHLY RATE 09.3.1.1 Games and hobbies 2015=100,L7ZJ,
CPI MONTHLY RATE 09.3.1.2 Toys and celebration articles 2015=100,L7ZK,
CPI MONTHLY RATE 09.3.2 : EQUIP FOR SPORT CAMPING & OPEN-AIR RECREATION 2015=100,D7N8,
CPI MONTHLY RATE 09.3.2.1 Equipment for sport 2015=100,L7ZL,
CPI MONTHLY RATE 09.3.2.2 Equipment for camping and open-air recreation 2015=100,L7ZM,
CPI MONTHLY RATE 09.3.3 : GARDEN PLANTS AND FLOWERS 2015=100,D7ML,
CPI MONTHLY RATE 09.3.3.1 Garden products 2015=100,L7ZN,
CPI MONTHLY RATE 09.3.3.2 Plants and flowers 2015=100,L7ZO,
CPI MONTHLY RATE 09.3.4 : PETS AND RELATED PRODUCTS 2015=100,D7MN,
CPI MONTHLY RATE 09.3.4.1 Purchase of pets 2015=100,L7ZP,
CPI MONTHLY RATE 09.3.4.2 Products for pets 2015=100,L7ZQ,
CPI MONTHLY RATE 09.3.5.0 Veterinary and other services for pets 2015=100,L7ZR,
CPI MONTHLY RATE 09.3:OTHER RECREATIONAL ITEMS & EQUIP GARDENS & PETS 2015=100,D7KI,
CPI MONTHLY RATE 09.4 : RECREATIONAL AND CULTURAL SERVICES 2015=100,D7KJ,
CPI MONTHLY RATE 09.4.1 : RECREATIONAL AND SPORTING SERVICES 2015=100,D7N9,
CPI MONTHLY RATE 09.4.1.1 Recreational and sporting services Attendance 2015=100,L7ZS,
CPI MONTHLY RATE 09.4.1.2 Rec and sporting services - Participation 2015=100,L7ZT,
CPI MONTHLY RATE 09.4.2 : CULTURAL SERVICES 2015=100,D7NA,
"CPI MONTHLY RATE 09.4.2.1 Cinemas, theatres, concerts 2015=100",L7ZU,
"CPI MONTHLY RATE 09.4.2.2 Museums, libraries, zoological gardens 2015=100",L7ZV,
"CPI MONTHLY RATE 09.4.2.3 Television and radio licence fees, subs 2015=100",L7ZW,
CPI MONTHLY RATE 09.4.2.4 Hire of equipment and accessories for culture 2015=100,L7ZX,
CPI MONTHLY RATE 09.4.2.5 Photographic services 2015=100,L7ZY,
CPI MONTHLY RATE 09.5 : NEWSPAPERS BOOKS AND STATIONERY 2015=100,D7NB,
CPI MONTHLY RATE 09.5.1 : BOOKS 2015=100,D7NC,
CPI MONTHLY RATE 09.5.1.1 Fiction books 2015=100,L7ZZ,
CPI MONTHLY RATE 09.5.1.3 Other non-fiction books 2015=100,L822,
CPI MONTHLY RATE 09.5.1.4 Binding services and E-book downloads 2015=100,L823,
CPI MONTHLY RATE 09.5.2 : NEWSPAPERS AND PERIODICALS 2015=100,D7ND,
CPI MONTHLY RATE 09.5.2.1 Newspapers 2015=100,L824,
CPI MONTHLY RATE 09.5.2.2 Magazines and periodicals 2015=100,L825,
CPI MONTHLY RATE 09.5.3.0 Miscellaneous printed matter 2015=100,L826,
CPI MONTHLY RATE 09.5.3:MISC PRINTED MATTER STATIONERY & DRAWING MTRLS 2015=100,D7NE,
CPI MONTHLY RATE 09.5.4.1 Paper products 2015=100,L827,
CPI MONTHLY RATE 09.5.4.9 Other stationery and drawing materials 2015=100,L828,
CPI MONTHLY RATE 09.6 : PACKAGE HOLIDAY 2015=100,D7NF,
CPI MONTHLY RATE 10 : EDUCATION 2015=100,D7JQ,
"CPI MONTHLY RATE 10.1/2/5 Pre-primary, Primary & Secondary education 2015=100",L82B,
CPI MONTHLY RATE 10.4 Tertiary education 2015=100,L82C,
"CPI MONTHLY RATE 11 : HOTELS, CAFES AND RESTAURANTS 2015=100",D7JR,
CPI MONTHLY RATE 11.1 : CATERING 2015=100,D7KK,
CPI MONTHLY RATE 11.1.1 : RESTAURANTS & CAFES 2015=100,D7MO,
