Year,Region,Value,Metric,Detail
2011,Sub Saharan Africa,0.8212857,Per capita emissions (tonnes),
2012,Sub Saharan Africa,0.8354112,Per capita emissions (tonnes),
2013,Sub Saharan Africa,0.8400841,Per capita emissions (tonnes),
2014,Sub Saharan Africa,0.8382054,Per capita emissions (tonnes),
2015,Sub Saharan Africa,0.8269669,Per capita emissions (tonnes),
2016,Sub Saharan Africa,0.8278613,Per capita emissions (tonnes),
2017,Sub Saharan Africa,0.8133327,Per capita emissions (tonnes),
2018,Sub Saharan Africa,0.8041709,Per capita emissions (tonnes),
1970,Latin America and Caribbean,1.831451,Per capita emissions (tonnes),
1971,Latin America and Caribbean,1.793798,Per capita emissions (tonnes),
1972,Latin America and Caribbean,1.856199,Per capita emissions (tonnes),
1973,Latin America and Caribbean,1.966927,Per capita emissions (tonnes),
1974,Latin America and Caribbean,2.008771,Per capita emissions (tonnes),
1975,Latin America and Caribbean,1.992699,Per capita emissions (tonnes),
1976,Latin America and Caribbean,2.085681,Per capita emissions (tonnes),
1977,Latin America and Caribbean,2.115482,Per capita emissions (tonnes),
1978,Latin America and Caribbean,2.215679,Per capita emissions (tonnes),
1979,Latin America and Caribbean,2.290568,Per capita emissions (tonnes),
1980,Latin America and Caribbean,2.323985,Per capita emissions (tonnes),
1981,Latin America and Caribbean,2.272035,Per capita emissions (tonnes),
1982,Latin America and Caribbean,2.252165,Per capita emissions (tonnes),
1983,Latin America and Caribbean,2.141692,Per capita emissions (tonnes),
1984,Latin America and Caribbean,2.132606,Per capita emissions (tonnes),
1985,Latin America and Caribbean,2.110549,Per capita emissions (tonnes),
1986,Latin America and Caribbean,2.152703,Per capita emissions (tonnes),
1987,Latin America and Caribbean,2.180463,Per capita emissions (tonnes),
1988,Latin America and Caribbean,2.186397,Per capita emissions (tonnes),
1989,Latin America and Caribbean,2.214719,Per capita emissions (tonnes),
1990,Latin America and Caribbean,2.154713,Per capita emissions (tonnes),
1991,Latin America and Caribbean,2.161612,Per capita emissions (tonnes),
1992,Latin America and Caribbean,2.164186,Per capita emissions (tonnes),
1993,Latin America and Caribbean,2.192977,Per capita emissions (tonnes),
1994,Latin America and Caribbean,2.272346,Per capita emissions (tonnes),
1995,Latin America and Caribbean,2.288802,Per capita emissions (tonnes),
1996,Latin America and Caribbean,2.402107,Per capita emissions (tonnes),
1997,Latin America and Caribbean,2.504974,Per capita emissions (tonnes),
1998,Latin America and Caribbean,2.557452,Per capita emissions (tonnes),
1999,Latin America and Caribbean,2.496248,Per capita emissions (tonnes),
2000,Latin America and Caribbean,2.566363,Per capita emissions (tonnes),
2001,Latin America and Caribbean,2.527794,Per capita emissions (tonnes),
2002,Latin America and Caribbean,2.49185,Per capita emissions (tonnes),
2003,Latin America and Caribbean,2.523564,Per capita emissions (tonnes),
2004,Latin America and Caribbean,2.608713,Per capita emissions (tonnes),
2005,Latin America and Caribbean,2.652901,Per capita emissions (tonnes),
2006,Latin America and Caribbean,2.688832,Per capita emissions (tonnes),
2007,Latin America and Caribbean,2.738018,Per capita emissions (tonnes),
2008,Latin America and Caribbean,2.82842,Per capita emissions (tonnes),
2009,Latin America and Caribbean,2.726151,Per capita emissions (tonnes),
2010,Latin America and Caribbean,2.867563,Per capita emissions (tonnes),
2011,Latin America and Caribbean,2.898976,Per capita emissions (tonnes),
2012,Latin America and Caribbean,3.001941,Per capita emissions (tonnes),
2013,Latin America and Caribbean,3.005404,Per capita emissions (tonnes),
2014,Latin America and Caribbean,3.020262,Per capita emissions (tonnes),
2015,Latin America and Caribbean,2.942074,Per capita emissions (tonnes),
2016,Latin America and Caribbean,2.883973,Per capita emissions (tonnes),
2017,Latin America and Caribbean,2.859258,Per capita emissions (tonnes),
2018,Latin America and Caribbean,2.804965,Per capita emissions (tonnes),
1970,North America,21.84615,Per capita emissions (tonnes),
1971,North America,21.11423,Per capita emissions (tonnes),
1972,North America,22.04598,Per capita emissions (tonnes),
1973,North America,22.70665,Per capita emissions (tonnes),
1974,North America,21.82982,Per capita emissions (tonnes),
1975,North America,20.69249,Per capita emissions (tonnes),
1976,North America,21.74968,Per capita emissions (tonnes),
1977,North America,22.26414,Per capita emissions (tonnes),
1978,North America,22.04199,Per capita emissions (tonnes),
1979,North America,22.04835,Per capita emissions (tonnes),
1980,North America,20.96165,Per capita emissions (tonnes),
1981,North America,20.41511,Per capita emissions (tonnes),
1982,North America,19.19751,Per capita emissions (tonnes),
1983,North America,18.92107,Per capita emissions (tonnes),
1984,North America,19.61241,Per capita emissions (tonnes),
1985,North America,19.522,Per capita emissions (tonnes),
1986,North America,19.14511,Per capita emissions (tonnes),
1987,North America,19.57769,Per capita emissions (tonnes),
1988,North America,20.30432,Per capita emissions (tonnes),
1989,North America,20.36503,Per capita emissions (tonnes),
1990,North America,19.68668,Per capita emissions (tonnes),
1991,North America,19.32146,Per capita emissions (tonnes),
1992,North America,19.45972,Per capita emissions (tonnes),
1993,North America,19.6753,Per capita emissions (tonnes),
1994,North America,19.81483,Per capita emissions (tonnes),
1995,North America,19.81621,Per capita emissions (tonnes),
1996,North America,20.12826,Per capita emissions (tonnes),
1997,North America,20.51752,Per capita emissions (tonnes),
1998,North America,20.33611,Per capita emissions (tonnes),
1999,North America,20.19853,Per capita emissions (tonnes),
2000,North America,20.69758,Per capita emissions (tonnes),
2001,North America,20.27677,Per capita emissions (tonnes),
2002,North America,19.86067,Per capita emissions (tonnes),
2003,North America,19.98304,Per capita emissions (tonnes),
2004,North America,20.04225,Per capita emissions (tonnes),
2005,North America,19.92986,Per capita emissions (tonnes),
2006,North America,19.4071,Per capita emissions (tonnes),
2007,North America,19.55612,Per capita emissions (tonnes),
2008,North America,18.75022,Per capita emissions (tonnes),
2009,North America,17.2538,Per capita emissions (tonnes),
2010,North America,17.85483,Per capita emissions (tonnes),
2011,North America,17.36385,Per capita emissions (tonnes),
2012,North America,16.7162,Per capita emissions (tonnes),
2013,North America,16.83966,Per capita emissions (tonnes),
2014,North America,16.93599,Per capita emissions (tonnes),
2015,North America,16.33854,Per capita emissions (tonnes),
2016,North America,16.03425,Per capita emissions (tonnes),
2017,North America,15.84909,Per capita emissions (tonnes),
2018,North America,16.1363,Per capita emissions (tonnes),
1970,East Asia and Pacific,1.681293,Per capita emissions (tonnes),
1971,East Asia and Pacific,1.644568,Per capita emissions (tonnes),
1972,East Asia and Pacific,1.704031,Per capita emissions (tonnes),
1973,East Asia and Pacific,1.804065,Per capita emissions (tonnes),
1974,East Asia and Pacific,1.796747,Per capita emissions (tonnes),
1975,East Asia and Pacific,1.843352,Per capita emissions (tonnes),
1976,East Asia and Pacific,1.878814,Per capita emissions (tonnes),
1977,East Asia and Pacific,2.007304,Per capita emissions (tonnes),
1978,East Asia and Pacific,2.172268,Per capita emissions (tonnes),
1979,East Asia and Pacific,2.208067,Per capita emissions (tonnes),
1980,East Asia and Pacific,2.149704,Per capita emissions (tonnes),
1981,East Asia and Pacific,2.103432,Per capita emissions (tonnes),
1982,East Asia and Pacific,2.099651,Per capita emissions (tonnes),
1983,East Asia and Pacific,2.132431,Per capita emissions (tonnes),
1984,East Asia and Pacific,2.252115,Per capita emissions (tonnes),
1985,East Asia and Pacific,2.236673,Per capita emissions (tonnes),
1986,East Asia and Pacific,2.270659,Per capita emissions (tonnes),
1987,East Asia and Pacific,2.333957,Per capita emissions (tonnes),
1988,East Asia and Pacific,2.462421,Per capita emissions (tonnes),
1989,East Asia and Pacific,2.511288,Per capita emissions (tonnes),
1990,East Asia and Pacific,2.575117,Per capita emissions (tonnes),
1991,East Asia and Pacific,2.646788,Per capita emissions (tonnes),
1992,East Asia and Pacific,2.705833,Per capita emissions (tonnes),
1993,East Asia and Pacific,2.825649,Per capita emissions (tonnes),
1994,East Asia and Pacific,2.94751,Per capita emissions (tonnes),
1995,East Asia and Pacific,3.136992,Per capita emissions (tonnes),
1996,East Asia and Pacific,3.146238,Per capita emissions (tonnes),
1997,East Asia and Pacific,3.183193,Per capita emissions (tonnes),
1998,East Asia and Pacific,3.140464,Per capita emissions (tonnes),
1999,East Asia and Pacific,3.143577,Per capita emissions (tonnes),
2000,East Asia and Pacific,3.282374,Per capita emissions (tonnes),
2001,East Asia and Pacific,3.365282,Per capita emissions (tonnes),
2002,East Asia and Pacific,3.522542,Per capita emissions (tonnes),
2003,East Asia and Pacific,3.845723,Per capita emissions (tonnes),
2004,East Asia and Pacific,4.207222,Per capita emissions (tonnes),
2005,East Asia and Pacific,4.529971,Per capita emissions (tonnes),
2006,East Asia and Pacific,4.837785,Per capita emissions (tonnes),
2007,East Asia and Pacific,5.161032,Per capita emissions (tonnes),
2008,East Asia and Pacific,5.181457,Per capita emissions (tonnes),
2009,East Asia and Pacific,5.36585,Per capita emissions (tonnes),
2010,East Asia and Pacific,5.740701,Per capita emissions (tonnes),
2011,East Asia and Pacific,6.140448,Per capita emissions (tonnes),
2012,East Asia and Pacific,6.23733,Per capita emissions (tonnes),
2013,East Asia and Pacific,6.418947,Per capita emissions (tonnes),
2014,East Asia and Pacific,6.436055,Per capita emissions (tonnes),
2015,East Asia and Pacific,6.39533,Per capita emissions (tonnes),
2016,East Asia and Pacific,6.463768,Per capita emissions (tonnes),
2017,East Asia and Pacific,6.50934,Per capita emissions (tonnes),
2018,East Asia and Pacific,6.58042,Per capita emissions (tonnes),
1970,Europe and Central Asia,9.003093,Per capita emissions (tonnes),
1971,Europe and Central Asia,8.936516,Per capita emissions (tonnes),
1972,Europe and Central Asia,9.20829,Per capita emissions (tonnes),
1973,Europe and Central Asia,9.65017,Per capita emissions (tonnes),
1974,Europe and Central Asia,9.612514,Per capita emissions (tonnes),
1975,Europe and Central Asia,9.596176,Per capita emissions (tonnes),
1976,Europe and Central Asia,10.03623,Per capita emissions (tonnes),
1977,Europe and Central Asia,10.04739,Per capita emissions (tonnes),
1978,Europe and Central Asia,10.42799,Per capita emissions (tonnes),
1979,Europe and Central Asia,10.65237,Per capita emissions (tonnes),
1980,Europe and Central Asia,10.53779,Per capita emissions (tonnes),
1981,Europe and Central Asia,10.16398,Per capita emissions (tonnes),
1982,Europe and Central Asia,10.01156,Per capita emissions (tonnes),
1983,Europe and Central Asia,9.970337,Per capita emissions (tonnes),
1984,Europe and Central Asia,9.96641,Per capita emissions (tonnes),
1985,Europe and Central Asia,10.01196,Per capita emissions (tonnes),
1986,Europe and Central Asia,10.10811,Per capita emissions (tonnes),
1987,Europe and Central Asia,10.2526,Per capita emissions (tonnes),
1988,Europe and Central Asia,10.26283,Per capita emissions (tonnes),
1989,Europe and Central Asia,10.21852,Per capita emissions (tonnes),
1990,Europe and Central Asia,10.23438,Per capita emissions (tonnes),
1991,Europe and Central Asia,10.00578,Per capita emissions (tonnes),
1992,Europe and Central Asia,9.380255,Per capita emissions (tonnes),
1993,Europe and Central Asia,8.827292,Per capita emissions (tonnes),
1994,Europe and Central Asia,8.316416,Per capita emissions (tonnes),
1995,Europe and Central Asia,8.261696,Per capita emissions (tonnes),
1996,Europe and Central Asia,8.248,Per capita emissions (tonnes),
1997,Europe and Central Asia,7.978196,Per capita emissions (tonnes),
1998,Europe and Central Asia,7.963336,Per capita emissions (tonnes),
1999,Europe and Central Asia,7.906778,Per capita emissions (tonnes),
2000,Europe and Central Asia,7.985744,Per capita emissions (tonnes),
2001,Europe and Central Asia,8.029165,Per capita emissions (tonnes),
2002,Europe and Central Asia,8.000253,Per capita emissions (tonnes),
2003,Europe and Central Asia,8.227424,Per capita emissions (tonnes),
2004,Europe and Central Asia,8.228045,Per capita emissions (tonnes),
2005,Europe and Central Asia,8.166359,Per capita emissions (tonnes),
2006,Europe and Central Asia,8.288412,Per capita emissions (tonnes),
2007,Europe and Central Asia,8.258731,Per capita emissions (tonnes),
2008,Europe and Central Asia,8.165074,Per capita emissions (tonnes),
2009,Europe and Central Asia,7.492003,Per capita emissions (tonnes),
2010,Europe and Central Asia,7.794569,Per capita emissions (tonnes),
2011,Europe and Central Asia,7.761528,Per capita emissions (tonnes),
2012,Europe and Central Asia,7.723127,Per capita emissions (tonnes),
2013,Europe and Central Asia,7.514447,Per capita emissions (tonnes),
2014,Europe and Central Asia,7.229329,Per capita emissions (tonnes),
2015,Europe and Central Asia,7.203155,Per capita emissions (tonnes),
2016,Europe and Central Asia,7.211433,Per capita emissions (tonnes),
2017,Europe and Central Asia,7.252205,Per capita emissions (tonnes),
2018,Europe and Central Asia,7.275518,Per capita emissions (tonnes),
1970,South Asia,0.3672203,Per capita emissions (tonnes),
1971,South Asia,0.3617085,Per capita emissions (tonnes),
1972,South Asia,0.3676356,Per capita emissions (tonnes),
1973,South Asia,0.3595789,Per capita emissions (tonnes),
1974,South Asia,0.3759532,Per capita emissions (tonnes),
1975,South Asia,0.3928166,Per capita emissions (tonnes),
1976,South Asia,0.4068917,Per capita emissions (tonnes),
1977,South Asia,0.4059523,Per capita emissions (tonnes),
1978,South Asia,0.3621266,Per capita emissions (tonnes),
1979,South Asia,0.3808539,Per capita emissions (tonnes),
1980,South Asia,0.3888995,Per capita emissions (tonnes),
1981,South Asia,0.4153655,Per capita emissions (tonnes),
1982,South Asia,0.4338798,Per capita emissions (tonnes),
1983,South Asia,0.4497375,Per capita emissions (tonnes),
1984,South Asia,0.4773951,Per capita emissions (tonnes),
1985,South Asia,0.4910748,Per capita emissions (tonnes),
1986,South Asia,0.5114062,Per capita emissions (tonnes),
1987,South Asia,0.5403593,Per capita emissions (tonnes),
1988,South Asia,0.5599691,Per capita emissions (tonnes),
1989,South Asia,0.5840448,Per capita emissions (tonnes),
1990,South Asia,0.6024487,Per capita emissions (tonnes),
1991,South Asia,0.6295203,Per capita emissions (tonnes),
1992,South Asia,0.6425691,Per capita emissions (tonnes),
1993,South Asia,0.6607009,Per capita emissions (tonnes),
1994,South Asia,0.6864528,Per capita emissions (tonnes),
1995,South Asia,0.7242884,Per capita emissions (tonnes),
1996,South Asia,0.7435161,Per capita emissions (tonnes),
1997,South Asia,0.7649953,Per capita emissions (tonnes),
1998,South Asia,0.7633888,Per capita emissions (tonnes),
1999,South Asia,0.8088549,Per capita emissions (tonnes),
2000,South Asia,0.8219973,Per capita emissions (tonnes),
2001,South Asia,0.823737,Per capita emissions (tonnes),
2002,South Asia,0.8380871,Per capita emissions (tonnes),
2003,South Asia,0.845377,Per capita emissions (tonnes),
2004,South Asia,0.9017479,Per capita emissions (tonnes),
2005,South Asia,0.9268074,Per capita emissions (tonnes),
2006,South Asia,0.9721651,Per capita emissions (tonnes),
2007,South Asia,1.041168,Per capita emissions (tonnes),
2008,South Asia,1.082102,Per capita emissions (tonnes),
2009,South Asia,1.179878,Per capita emissions (tonnes),
2010,South Asia,1.218418,Per capita emissions (tonnes),
2011,South Asia,1.265797,Per capita emissions (tonnes),
2012,South Asia,1.337272,Per capita emissions (tonnes),
2013,South Asia,1.346622,Per capita emissions (tonnes),
2014,South Asia,1.447176,Per capita emissions (tonnes),
2015,South Asia,1.476694,Per capita emissions (tonnes),
2016,South Asia,1.514589,Per capita emissions (tonnes),
2017,South Asia,1.548372,Per capita emissions (tonnes),
2018,South Asia,1.633663,Per capita emissions (tonnes),
1970,Middle East and North Africa,2.57542,Per capita emissions (tonnes),
1971,Middle East and North Africa,2.676546,Per capita emissions (tonnes),
1972,Middle East and North Africa,2.916599,Per capita emissions (tonnes),
1973,Middle East and North Africa,3.291803,Per capita emissions (tonnes),
1974,Middle East and North Africa,3.204048,Per capita emissions (tonnes),
1975,Middle East and North Africa,3.144613,Per capita emissions (tonnes),
1976,Middle East and North Africa,3.566568,Per capita emissions (tonnes),
1977,Middle East and North Africa,3.588755,Per capita emissions (tonnes),
1978,Middle East and North Africa,3.654705,Per capita emissions (tonnes),
1979,Middle East and North Africa,3.679531,Per capita emissions (tonnes),
1980,Middle East and North Africa,3.622708,Per capita emissions (tonnes),
1981,Middle East and North Africa,3.334127,Per capita emissions (tonnes),
1982,Middle East and North Africa,3.459093,Per capita emissions (tonnes),
1983,Middle East and North Africa,3.537189,Per capita emissions (tonnes),
1984,Middle East and North Africa,3.385889,Per capita emissions (tonnes),
1985,Middle East and North Africa,3.446255,Per capita emissions (tonnes),
1986,Middle East and North Africa,3.415914,Per capita emissions (tonnes),
1987,Middle East and North Africa,3.473815,Per capita emissions (tonnes),
1988,Middle East and North Africa,3.523057,Per capita emissions (tonnes),
1989,Middle East and North Africa,3.637133,Per capita emissions (tonnes),
1990,Middle East and North Africa,3.589937,Per capita emissions (tonnes),
1991,Middle East and North Africa,3.667933,Per capita emissions (tonnes),
1992,Middle East and North Africa,3.728415,Per capita emissions (tonnes),
1993,Middle East and North Africa,3.836011,Per capita emissions (tonnes),
1994,Middle East and North Africa,4.038281,Per capita emissions (tonnes),
1995,Middle East and North Africa,4.183244,Per capita emissions (tonnes),
1996,Middle East and North Africa,4.25001,Per capita emissions (tonnes),
1997,Middle East and North Africa,4.35358,Per capita emissions (tonnes),
1998,Middle East and North Africa,4.263956,Per capita emissions (tonnes),
1999,Middle East and North Africa,4.339395,Per capita emissions (tonnes),
2000,Middle East and North Africa,4.443063,Per capita emissions (tonnes),
2001,Middle East and North Africa,4.594065,Per capita emissions (tonnes),
2002,Middle East and North Africa,4.674966,Per capita emissions (tonnes),
2003,Middle East and North Africa,4.758107,Per capita emissions (tonnes),
2004,Middle East and North Africa,4.925021,Per capita emissions (tonnes),
2005,Middle East and North Africa,5.162223,Per capita emissions (tonnes),
2006,Middle East and North Africa,5.33955,Per capita emissions (tonnes),
2007,Middle East and North Africa,5.468627,Per capita emissions (tonnes),
2008,Middle East and North Africa,5.658634,Per capita emissions (tonnes),
2009,Middle East and North Africa,5.797646,Per capita emissions (tonnes),
2010,Middle East and North Africa,5.913537,Per capita emissions (tonnes),
2011,Middle East and North Africa,5.916747,Per capita emissions (tonnes),
2012,Middle East and North Africa,6.082764,Per capita emissions (tonnes),
2013,Middle East and North Africa,6.118505,Per capita emissions (tonnes),
2014,Middle East and North Africa,6.218057,Per capita emissions (tonnes),
2015,Middle East and North Africa,6.174142,Per capita emissions (tonnes),
2016,Middle East and North Africa,6.235775,Per capita emissions (tonnes),
2017,Middle East and North Africa,6.297819,Per capita emissions (tonnes),
2018,Middle East and North Africa,6.342029,Per capita emissions (tonnes),
